"Fecha";"Prec.5";"ET0.5";"Consumo.5";"Prec.4";"ET0.4";"Consumo.4";"Prec.3";"ET0.3";"Consumo.3";"Prec.2";"ET0.2";"Consumo.2";"Prec.1";"ET0.1";"Consumo.1";"NDVI.NA.Mean.5";"NDVI.NA.Mean"
2019-07-10;0;7.49462855678335;10.2719516096856;0;6.99034970241226;0;0;7.61625453507866;0;0.1;4.98614662155193;10.5675473394607;0;8.36321838802308;0;0.451945918798447;0.540232539176941
2019-07-15;0;7.49759180097094;10.4320659633138;0;7.50499501817221;10.5798638282013;0;7.54164059183297;10.5429143619794;0;7.40508617431471;0;0;8.0879383130338;0;0.540232539176941;0.544150249660015
2019-07-20;0;8.36917714723379;10.6660792493857;0;7.49981771572557;0;0;7.18733329088103;10.8508265804952;0;7.51960636817467;11.0971563553078;0;8.17467004050872;0;0.544150249660015;0.393337032198906
2019-07-25;0;7.59163685166645;0;0;8.42632282793193;0;0;8.03246620970089;0;0;8.25276763747124;0;0;8.29393064970125;11.5651829274517;0.393337032198906;0.528000295162201
2019-07-30;0;8.00110857384944;11.7868797247831;0;7.29367361659714;11.7376137698206;0;8.57911283900458;0;0;7.2763671890169;0;0;6.94004686990254;11.7376137698206;0.528000295162201;0.518625618517399
2019-08-04;0;7.67763218354875;0;0;5.3851453028582;11.7499302585612;0;6.36301138556324;11.9469940784113;0;6.77615914357413;11.7376137698206;0;6.60417821566898;0;0.518625618517399;0.470601326227188
2019-08-09;0;6.86306119835281;0;0;6.84396879420781;11.8854116347081;0;7.39656888939644;0;0;6.66237610639771;11.7376137698206;0;7.92815287873902;12.0085765221144;0.470601326227188;0.516558413207531
2019-08-14;0;7.1341812548106;11.9346775896707;0;7.84809605459621;0;0.4;6.56250623508956;0;0;7.24677847894859;0.234013286071974;0;5.89110768515849;0;0.516558413207531;0.546364738047123
2019-08-19;0;6.56171680876896;0.246329774812604;0;6.89483926145761;0.258646263553234;0;6.63043315779833;0.246329774812604;0;6.59153091656622;0;0;7.39459396983788;0;0.546364738047123;0.547279384732246
2019-08-24;0;7.21552456814293;0.246329774812604;0;5.60528397665274;0.147797864887562;13.2;4.54025759592469;0.258646263553234;0;6.0218490943084;0.258646263553234;0;6.2010493638639;0.258646263553234;0.547279384732246;0.621159546077251
