"Fecha";"Prec.5";"ET0.5";"Consumo.5";"Prec.4";"ET0.4";"Consumo.4";"Prec.3";"ET0.3";"Consumo.3";"Prec.2";"ET0.2";"Consumo.2";"Prec.1";"ET0.1";"Consumo.1";"NDVI.scl_7_8_9.Mean.5";"NDVI.scl_7_8_9.Mean"
2017-12-17;0;1.68808126300606;0;0;1.56790888880076;0;0;1.24642535903061;0;0;1.80223486889414;0;0;2.16179937683935;0;0.428995445370674;0.10581299290061
2017-12-22;0;1.62817769184997;0;0;1.17578619381302;0;0;1.91257225804314;0;0;0.948432034870221;0;0;1.14343398046197;0;0.10581299290061;0.175397902727127
2017-12-27;0;1.23945163006403;0;0;0.950974539638555;0;0;0.668792409971776;0;0;1.03594131266849;0;0;1.30416057599902;0;0.175397902727127;NA
2018-01-01;0;3.69052066934984;0;0;1.36772886531148;0;0;2.06205650058378;0;0;1.62332786414806;0;0;1.41083417228775;0;NA;0.413231048732996
2018-01-06;0;2.11851459656763;0;0;2.63967781768291;0;0;2.3247744049571;0;0;2.29285266458879;0;0;1.77562564619142;0;0.413231048732996;NA
2018-01-11;1.4;1.27606241144962;0;0;1.42626838484605;0;0;0.984421496204202;0;0;0.834526576253903;0;3.1;1.4274694318638;0;NA;0.328637324273586
2018-01-16;0;3.09985339971795;0;0;1.85743517080962;0;0;1.23648038475093;0;1;1.39761053635877;0;7.6;1.1746495736824;0;0.328637324273586;0.381212145090103
2018-01-21;0;1.56149639991601;0;0;2.29070208532105;0;0.1;1.26408026068978;0;0;1.15368046781029;0;0;2.05595198568139;0;0.381212145090103;0.289847351610661
2018-01-26;0;3.52082831137894;0;0;2.63971940649597;0;0;2.09697040182218;0;0;1.49632100213567;0;0;1.34670706817725;0;0.289847351610661;NA
2018-01-31;0.5;2.96782929284669;0;1.9;2.20922646149824;0;27.5;1.46221818724229;0;0;1.54145990895953;0;0;1.08181329974671;0;NA;0.20916935056448
2018-02-05;0;1.39398043652012;0;3.6;1.59082583393028;0;7.1;1.71310782097772;0;0;2.80195720496943;0;0.4;1.30442267459971;0;0.20916935056448;0.373877335339785
2018-02-10;0.1;1.48190851348176;0;0;2.43221146462761;0;0;2.05239356283838;0;0;2.05596312710887;0;0;2.59730913090354;4025.11586470918;0.373877335339785;0.252812691032887
2018-02-15;0;3.12245626740358;0;0;2.58066138020726;0;0.3;1.58425500077105;0;0;2.32794838999448;0;0;2.82993887187139;0;0.252812691032887;0.144971303641796
2018-02-20;0;3.06278804954466;0;0;2.09999738542293;0;0;3.0608167020321;0;0;1.10208211583012;0;0;2.55940423416448;0;0.144971303641796;0.213439978659153
2018-03-07;0.4;1.96095160022316;0;4.1;3.08458575382291;0;1.2;1.95112457244866;0;0.3;2.58102208468669;0;0.1;3.13648948368747;0;NA;0.227250285446644
2018-03-12;0;3.91557008695218;0;0.6;2.31026302745502;0.0088467584755203;0;4.09421331488562;13.8894108065669;0;4.45579540348427;0;0;5.46365482363461;0.692974126295027;0.227250285446644;0.241207893937826
2018-03-17;0;4.3365492226112;13.6476213625234;0;3.31582787078997;0;0;3.52246909220983;14.402522798147;0;3.26010605931757;0;0.1;3.28393810737509;14.0840394930283;0.241207893937826;NA
2018-03-22;0;3.69423515654664;0;1.2;3.45335300434089;0;0.7;4.07651871409929;14.5175306583288;0;4.57723153625796;0.687269124592312;0;4.72110325709289;13.5294717455688;NA;0.271871004253626
2018-03-27;0;4.71422854820966;0;0;5.08893367693284;17.5519688154323;0.7;6.13044708094857;0;0.2;4.24907312886388;0;0;5.32966408681308;14.4467565905246;0.271871004253626;0.204953910782933
2018-04-01;0;5.39827860556407;0;0;5.20987255065199;15.7914638788037;0;4.16372610737807;0;0;4.94272269169569;16.2249550441042;0;5.68082424621491;0;0.204953910782933;0.216546956449747
2018-04-06;0;4.63140302790503;0;0;3.5405747683032;15.5702949169157;0;4.81198409639812;0;0;5.90024380529693;16.6142124170271;0;5.1062187895588;0;0.216546956449747;NA
2018-04-11;0;3.40896430433977;16.4638175229433;0;2.87601746150329;0;0;4.71884989913212;0;0;4.97409298072653;16.7203735187334;1.1;4.36961486724471;0;NA;0.304809410125017
2018-04-16;0;4.82724066551188;16.0834069084959;0;5.28471905459233;0;0;4.35978318377552;16.339962904286;0;5.15154009602106;0;0;5.52736163890736;0;0.304809410125017;0.215708518400788
2018-04-21;0.9;6.1735846621195;16.578825383125;0;5.42163400601653;0;0;5.53265446546096;16.6672929678802;0;5.60749017004505;0.389257372922893;0;4.81060802198487;16.5345915907474;0.215708518400788;0.274431511759758
2018-04-26;0;5.11382605039873;0;0;6.11525264602578;0;0;6.87683714541605;16.4992045568454;0;8.10690206195289;0;7.8;2.38258499347754;16.9946230314745;0.274431511759758;NA
2018-05-01;2.3;3.54632521137658;0;0;4.84935346487236;17.1804049594604;0;5.93863054440471;0;0;6.66785461999234;0;2.1;4.12512247436522;17.2865660611667;NA;0.262390073388815
2018-05-06;0.1;4.92497046386707;0;0;6.00858511611471;17.5601269608517;0;6.14670629266587;4.10558454569746;0;5.98491326370726;15.8445444296568;0;5.22973904070966;0;0.262390073388815;0.287052493542433
2018-05-11;0;5.49653134015053;0;0;5.70680357663276;15.8887782220345;13.8;5.22510676921986;0.460031440727055;4.1;5.43111708081509;15.1544972685663;1.7;3.61945263984304;4.22740051815163;0.287052493542433;0.285870391875505
2018-05-16;0;4.66635371471173;11.4136684665683;0;6.33229230066886;0;0;7.47570599413134;0;0;5.9650033145796;16.4461240059922;0;5.45476711779823;0;0.285870391875505;0.329455353319645
2018-05-21;0;6.65931310545479;0;0;6.02245133788003;0;0;5.45547672361104;0;0;5.78925069545908;0;0;5.21656746047516;0;0.329455353319645;0.298025481402874
2018-05-26;0;6.09561995824013;15.3933597474053;0;6.86989450048727;0;0;6.41462769392173;15.0571829253355;0.1;7.2612568622097;0.690047161090583;0;7.39648378716262;14.9067880312517;0.298025481402874;0.255590490996838
2018-05-31;0;6.55917463427975;0;0;6.48091234897049;0;0;6.47298467185089;15.3539981918274;0;6.03335898296193;0.0216680386268986;0;6.01454604098522;15.1014167177131;0.255590490996838;0.301260508596897
2018-06-05;0;6.05022505572477;0;0;6.72122831213765;14.9864088575314;2.9;3.25582208627886;0;1.7;6.51656003046911;0;0;6.92825874248622;15.1544972685663;0.301260508596897;NA
2018-06-10;0;4.89186060216542;0;10.2;3.77801639464013;15.1456505100907;0.1;6.7710529408049;0.185781927985926;0;7.19476352542981;0;0.3;5.64208417518902;0;NA;NA
2018-06-15;2.8;6.95123301260021;0;0;7.19406578393319;15.0129491329579;0;7.37579561132959;2.22053637735559;0;7.76935847873792;14.4732968659512;0;7.50928142526737;0;NA;0.329018101096153
2018-06-30;0;7.36084824964433;14.605998243084;0;7.630593894719;19.9960130847085;0;7.27647001763032;8.96827416414491;0;6.34375790118582;27.535215708001;0;7.29095365377575;7.39140339381898;0.304996263235807;0.261457640677691
2018-07-05;0;7.45748799735093;1.95551698262414;0;7.79956649932255;0;0;8.80439120688782;15.9683990483141;0;7.69035712871369;17.2157919933625;0;7.72666750656521;15.694149535573;0.261457640677691;0.360593415796757
2018-07-10;0;9.07394893361302;15.6233754677688;0;7.87870551678279;21.0198981378362;0;7.0057773600629;0;0;7.93437099349045;0;0;8.00486651709589;0;0.360593415796757;0.325253240764141
