Mask & Int & Scenario & n & Model & PCA & MAE & MAPE & MSE & RMSE & CVRMSE & Time \\
NA & redim & 1 & 1 & gbm & 0 & 0,1189 & Inf & 0,022 & 0,1485 & 0,573 & 2M 1.44S \\
scl_7_8_9 & redim & 1 & 1 & rf & 16 & 0,0682 & 0,2731 & 0,0093 & 0,0964 & 0,2456 & 56M 16.37S \\
scl_7_8_9 & agg & 1 & 1 & gbm & 0 & 0,0731 & 0,301 & 0,0104 & 0,1018 & 0,2587 & 10.89S \\
scl_7_8_9 & agg & 1 & 1 & gbm & 1 & 0,1089 & 0,4382 & 0,0192 & 0,1386 & 0,3524 & 6.37S \\
scl_7_8_9 & agg & 1 & 1 & gbm & 2 & 0,0875 & 0,3529 & 0,0137 & 0,117 & 0,2975 & 8.59S \\
scl_7_8_9 & agg & 1 & 1 & gbm & 3 & 0,0794 & 0,3251 & 0,012 & 0,1097 & 0,2788 & 10.14S \\
scl_7_8_9 & agg & 1 & 1 & gbm & 4 & 0,0792 & 0,3244 & 0,012 & 0,1095 & 0,2783 & 11.74S \\
scl_7_8_9 & agg & 1 & 1 & rf & 0 & 0,0707 & 0,2862 & 0,0098 & 0,0992 & 0,2521 & 23M 51.67S \\
scl_7_8_9 & agg & 1 & 1 & rf & 1 & 0,1286 & 0,4943 & 0,0266 & 0,1632 & 0,4148 & 5M 27.76S \\
scl_7_8_9 & agg & 1 & 1 & rf & 2 & 0,0925 & 0,3601 & 0,0153 & 0,1237 & 0,3146 & 7M 3.48S \\
scl_7_8_9 & agg & 1 & 1 & rf & 3 & 0,0817 & 0,3288 & 0,0127 & 0,1128 & 0,2867 & 15M 52.67S \\
scl_7_8_9 & agg & 1 & 1 & rf & 4 & 0,0791 & 0,3146 & 0,012 & 0,1093 & 0,2779 & 26M 15.08S \\
