"TieneContadorEnLect";"Contadores";"Contrato";"Contador.dg";"Contador.lect"
"Varios";"Iguales";"6431126";"I17MF010302W";"I17MF010302W"
"Varios";"Iguales";"6431127";"D11TD059918L";"D11TD059918L"
"Varios";"Iguales";"6431268";"D16FE056079D";"D16FE056079D"
"Varios";"Iguales";"6431273";"D12XF114035G";"D12XF114035G"
"Varios";"Iguales";"6431327";"I16BE113374E";"I16BE113374E"
"Varios";"Iguales";"6431331";"I18BC065526H";"I18BC065526H"
"Varios";"Iguales";"6431414";"I20BE007801P";"I20BE007801P"
"Varios";"Iguales";"6431415";"D12FE130145K";"D12FE130145K"
"Varios";"Iguales";"6431430";"I18BC065485P";"I18BC065485P"
"Varios";"Iguales";"6431521";"I19MF917379N";"I19MF917379N"
"Varios";"Iguales";"6431524";"D13FE028558F";"D13FE028558F"
"Varios";"Iguales";"6431535";"I20BE032003O";"I20BE032003O"
"Varios";"Iguales";"6432724";"D14XF044090O";"D14XF044090O"
"Varios";"Iguales";"6432725";"D12FE134113S";"D12FE134113S"
"Varios";"Iguales";"6434297";"D11FE091647U";"D11FE091647U"
"Varios";"Iguales";"6434298";"D12FE130091N";"D12FE130091N"
"Varios";"Iguales";"6434299";"D11FE091646T";"D11FE091646T"
"Varios";"Iguales";"6436099";"D12FE130132F";"D12FE130132F"
"Varios";"Distintos";"6436100";"I16BE098625G";"I21BE026542E"
"Varios";"Iguales";"6436906";"D15UF047668F";"D15UF047668F"
"Varios";"Iguales";"6436974";"I20BC009604G";"I20BC009604G"
"Varios";"Iguales";"6437379";"D11TA835552C";"D11TA835552C"
"Varios";"Iguales";"6438510";"D12TC131714T";"D12TC131714T"
"Varios";"Iguales";"6438908";"D15FE046179S";"D15FE046179S"
"Varios";"Iguales";"6439676";"D12FE134066C";"D12FE134066C"
"Varios";"Iguales";"6439812";"D12TD123738L";"D12TD123738L"
"Varios";"Iguales";"6439814";"D16FE056071V";"D16FE056071V"
"Varios";"Iguales";"6439815";"D12TD123865R";"D12TD123865R"
"Varios";"Iguales";"6440330";"D16FE056078C";"D16FE056078C"
"Varios";"Iguales";"6440364";"D11TC061056I";"D11TC061056I"
"Varios";"Iguales";"6440370";"D10TB028995I";"D10TB028995I"
"Varios";"Iguales";"6440893";"D12FE134071Z";"D12FE134071Z"
"Varios";"Iguales";"6440894";"I18BC034332G";"I18BC034332G"
"Varios";"Iguales";"6441166";"D12FE130137K";"D12FE130137K"
"Varios";"Iguales";"6441169";"D12FE130173O";"D12FE130173O"
"Varios";"Iguales";"6441171";"D12FE130136J";"D12FE130136J"
"Varios";"Iguales";"6441172";"D12FE130160J";"D12FE130160J"
"Varios";"Iguales";"6441173";"D12FE130120B";"D12FE130120B"
"Varios";"Iguales";"6441174";"D12FE130151I";"D12FE130151I"
"Varios";"Iguales";"6441175";"D12FE130171M";"D12FE130171M"
"Varios";"Iguales";"6441354";"D12FE130127I";"D12FE130127I"
"Varios";"Iguales";"6441356";"D16UF026281L";"D16UF026281L"
"Varios";"Iguales";"6441467";"D15TC052752I";"D15TC052752I"
"Varios";"Iguales";"6441469";"D12FE130157O";"D12FE130157O"
"Varios";"Iguales";"6441473";"D14UF144126R";"D14UF144126R"
"Varios";"Iguales";"6441899";"D12TD123907K";"D12TD123907K"
"Varios";"Iguales";"6441902";"D10FE114428G";"D10FE114428G"
"Varios";"Iguales";"6441903";"D12FE134038Y";"D12FE134038Y"
"Varios";"Iguales";"6441924";"I20BB054946X";"I20BB054946X"
"Varios";"Iguales";"6442999";"D15TD045393T";"D15TD045393T"
"Varios";"Iguales";"6443818";"I19BD084607D";"I19BD084607D"
"Varios";"Iguales";"6443831";"I16BE098621C";"I16BE098621C"
"Varios";"Iguales";"6444397";"I18BB036356P";"I18BB036356P"
"Varios";"Iguales";"6444401";"I18BC034376S";"I18BC034376S"
"Varios";"Iguales";"6444403";"I18BB036438Q";"I18BB036438Q"
"Varios";"Iguales";"6444406";"D12FE134026U";"D12FE134026U"
"Varios";"Iguales";"6445155";"D12TD123809J";"D12TD123809J"
"Varios";"Iguales";"6449098";"D12FE134094G";"D12FE134094G"
"Varios";"Iguales";"6449099";"D12FE134095H";"D12FE134095H"
"Varios";"Iguales";"6449801";"D12FE134048A";"D12FE134048A"
"Varios";"Iguales";"6449803";"I18BC065849X";"I18BC065849X"
"Varios";"Iguales";"6449806";"I18BC065518H";"I18BC065518H"
"Varios";"Iguales";"6451307";"D12UF112761X";"D12UF112761X"
"Varios";"Iguales";"6451392";"D12TD123835L";"D12TD123835L"
"Varios";"Iguales";"6451505";"I16BE101720P";"I16BE101720P"
"Varios";"Iguales";"6451703";"I20BH009007A";"I20BH009007A"
"Varios";"Iguales";"6452755";"I19BB057576W";"I19BB057576W"
"Varios";"Iguales";"6453070";"D12FE130098U";"D12FE130098U"
"Varios";"Iguales";"6453255";"D12FE134099L";"D12FE134099L"
"Varios";"Iguales";"6453259";"D15UF047673C";"D15UF047673C"
"Varios";"Iguales";"6453283";"D12TD125387Q";"D12TD125387Q"
"Varios";"Iguales";"6453523";"D12FE044124U";"D12FE044124U"
"Varios";"Iguales";"6456677";"D13XG039931R";"D13XG039931R"
"Varios";"Iguales";"6456681";"D11TA835631A";"D11TA835631A"
"Varios";"Iguales";"6456682";"D13TC127098U";"D13TC127098U"
"Varios";"Iguales";"6456864";"D12TB014196I";"D12TB014196I"
"Varios";"Iguales";"6459510";"D11TC131476P";"D11TC131476P"
"Varios";"Iguales";"6461478";"I18BC047602A";"I18BC047602A"
"Varios";"Iguales";"6462152";"I16BE113376G";"I16BE113376G"
"Varios";"Iguales";"6462640";"D12TD123805F";"D12TD123805F"
"Varios";"Iguales";"6464310";"I18BB047669M";"I18BB047669M"
"Varios";"Iguales";"6465914";"D11TA801126J";"D11TA801126J"
"Varios";"Iguales";"6466823";"D12FE126309F";"D12FE126309F"
"Varios";"Iguales";"6466824";"D12FE126337J";"D12FE126337J"
"Varios";"Iguales";"6466825";"D12TD125326D";"D12TD125326D"
"Varios";"Iguales";"6467039";"D12FE134088I";"D12FE134088I"
"Varios";"Iguales";"6467040";"D11TA835536C";"D11TA835536C"
"Varios";"Iguales";"6467298";"D12FE134089J";"D12FE134089J"
"Varios";"Iguales";"6470504";"J20OA013358P";"J20OA013358P"
"Varios";"Iguales";"6472805";"D11TB017259J";"D11TB017259J"
"Varios";"Iguales";"6473003";"I20BD009967L";"I20BD009967L"
"Varios";"Iguales";"6473494";"J19OA154665U";"J19OA154665U"
"Varios";"Iguales";"6474329";"D16FE056076A";"D16FE056076A"
"Varios";"Iguales";"6475894";"I20BB039984N";"I20BB039984N"
"Varios";"Iguales";"6476819";"I16BE111358W";"I16BE111358W"
"Varios";"Iguales";"6477901";"D13TA607972R";"D13TA607972R"
"Varios";"Iguales";"6478559";"D12FE134017T";"D12FE134017T"
"Varios";"Iguales";"6481231";"D13TA607965S";"D13TA607965S"
"Varios";"Iguales";"6482295";"D11TA835353X";"D11TA835353X"
"Varios";"Iguales";"6483443";"D11TD104793D";"D11TD104793D"
"Varios";"Iguales";"6484593";"D13TA565057H";"D13TA565057H"
"Varios";"Iguales";"6489824";"D13TA560507S";"D13TA560507S"
"Varios";"Iguales";"6491890";"D11TA835625C";"D11TA835625C"
"Varios";"Iguales";"6495095";"I20BA061613R";"I20BA061613R"
"Varios";"Iguales";"6496230";"I18BC065873X";"I18BC065873X"
"Varios";"Iguales";"6496232";"D13TA608045R";"D13TA608045R"
"Varios";"Iguales";"6496354";"D13TB018501W";"D13TB018501W"
"Varios";"Iguales";"6500330";"D13TB015901W";"D13TB015901W"
"Varios";"Iguales";"6502323";"D12FE134036W";"D12FE134036W"
"Varios";"Iguales";"6503842";"I19BB001051B";"I19BB001051B"
"Varios";"Iguales";"6504565";"D13TA642550Z";"D13TA642550Z"
"Varios";"Iguales";"6505874";"D16IA005543Z";"D16IA005543Z"
"Varios";"Iguales";"6506989";"I20BC050626B";"I20BC050626B"
"Varios";"Iguales";"6506990";"D13TD008144E";"D13TD008144E"
"Varios";"Iguales";"6507780";"D12FE134015R";"D12FE134015R"
"Varios";"Iguales";"6507785";"D12FE134119Y";"D12FE134119Y"
"Varios";"Iguales";"6513888";"I19BB049078M";"I19BB049078M"
"Varios";"Iguales";"6515860";"D12TA544262N";"D12TA544262N"
"Varios";"Iguales";"6515865";"D11TB014805B";"D11TB014805B"
"Varios";"Iguales";"6523676";"D11TA835358C";"D11TA835358C"
"Varios";"Iguales";"6524125";"D16FE056113O";"D16FE056113O"
"Varios";"Iguales";"6525876";"I20BC035211S";"I20BC035211S"
"Varios";"Iguales";"6526963";"D11TA835553D";"D11TA835553D"
"Varios";"Iguales";"6528098";"I19BC081154C";"I19BC081154C"
"Varios";"Iguales";"6530198";"D11TA835352W";"D11TA835352W"
"Varios";"Iguales";"6533395";"D13TB014463R";"D13TB014463R"
"Varios";"Iguales";"6536623";"D12UF113339R";"D12UF113339R"
"Varios";"Iguales";"6543897";"D12FE130089T";"D12FE130089T"
"Varios";"Iguales";"6544813";"D11TA835640B";"D11TA835640B"
"Varios";"Iguales";"6547404";"D13TC094148E";"D13TC094148E"
"Varios";"Iguales";"6548037";"D16TD064902H";"D16TD064902H"
"Varios";"Iguales";"6548038";"I20BC064504N";"I20BC064504N"
"Varios";"Iguales";"6551656";"D16FE056080W";"D16FE056080W"
"Varios";"Iguales";"6552773";"I16BE098611A";"I16BE098611A"
"Varios";"Distintos";"6559630";"D12FE126393R";"I21BE010207P"
"Varios";"Iguales";"6560222";"D14TD075174Q";"D14TD075174Q"
"Varios";"Iguales";"6560231";"D13TA607970P";"D13TA607970P"
"Varios";"Iguales";"6564834";"D12FE134107U";"D12FE134107U"
"Varios";"Iguales";"6566294";"D13TA608044Q";"D13TA608044Q"
"Varios";"Iguales";"6566575";"D16FE056138X";"D16FE056138X"
"Varios";"Iguales";"6587228";"D12FE126365N";"D12FE126365N"
"Varios";"Iguales";"6587395";"D14TC106166K";"D14TC106166K"
"Varios";"Iguales";"6595270";"D13TB015902X";"D13TB015902X"
"Varios";"Iguales";"6596867";"D15TC079280J";"D15TC079280J"
"Varios";"Iguales";"6598500";"D12FE130117G";"D12FE130117G"
"Varios";"Iguales";"6598803";"D12FE130128J";"D12FE130128J"
"Varios";"Iguales";"6598925";"D12FE126370K";"D12FE126370K"
"Varios";"Iguales";"6605391";"I20BD055313O";"I20BD055313O"
"Varios";"Iguales";"6605396";"D13TC094149F";"D13TC094149F"
"Varios";"Iguales";"6606317";"D15FE046157M";"D15FE046157M"
"Varios";"Iguales";"6606724";"D15FE046189U";"D15FE046189U"
"Varios";"Iguales";"6611136";"D12FE134136Z";"D12FE134136Z"
"Varios";"Iguales";"6617012";"D13TA607971Q";"D13TA607971Q"
"Varios";"Iguales";"6617017";"D12FE134117W";"D12FE134117W"
"Varios";"Iguales";"6617582";"D12FE130126H";"D12FE130126H"
"Varios";"Iguales";"6617583";"D12FE134138B";"D12FE134138B"
"Varios";"Iguales";"6619213";"D11TB004352O";"D11TB004352O"
"Varios";"Iguales";"6619762";"D14FE043627A";"D14FE043627A"
"Varios";"Iguales";"6620509";"D11TA835538E";"D11TA835538E"
"Varios";"Iguales";"6620685";"D12FE134116V";"D12FE134116V"
"Varios";"Iguales";"6621311";"D13TA608047T";"D13TA608047T"
"Varios";"Iguales";"6629187";"D16FE056135U";"D16FE056135U"
"Varios";"Iguales";"6630537";"D12XG011052W";"D12XG011052W"
"Varios";"Iguales";"6632651";"D13TD022101F";"D13TD022101F"
"Varios";"Iguales";"6635590";"D12XG117352J";"D12XG117352J"
"Varios";"Iguales";"6636324";"D13XG002974L";"D13XG002974L"
"Varios";"Iguales";"6636326";"I19MG929376E";"I19MG929376E"
