Fecha;ConsumoTotal;Consumo
2017-09-30;0;0
2017-10-01;20;0.0461096896345573
2017-10-02;1380;3.18156858478445
2017-10-03;1340;3.08934920551534
2017-10-04;2520;5.80982089395422
2017-10-05;1370;3.15851373996718
2017-10-06;1340;3.08934920551534
2017-10-07;0;0
2017-10-08;20;0.0461096896345573
2017-10-09;2290;5.27955946315681
2017-10-10;1350;3.11240405033262
2017-10-11;1330;3.06629436069806
2017-10-12;1270;2.92796529179439
2017-10-13;1330;3.06629436069806
2017-10-14;0;0
2017-10-15;10;0.0230548448172787
2017-10-16;1830;4.21903660156199
2017-10-17;1380;3.18156858478445
2017-10-18;1360;3.1354588951499
2017-10-19;1360;3.1354588951499
2017-10-20;1350;3.11240405033262
2017-10-21;0;0
2017-10-22;20;0.0461096896345573
2017-10-23;1500;3.4582267225918
2017-10-24;1340;3.08934920551534
2017-10-25;1320;3.04323951588078
2017-10-26;1330;3.06629436069806
2017-10-27;1360;3.1354588951499
2017-10-28;0;0
2017-10-29;10;0.0230548448172787
2017-10-30;1240;2.85880075734255
2017-10-31;1210;2.78963622289072
2017-11-01;1250;2.88185560215983
2017-11-02;1230;2.83574591252527
2017-11-03;1250;2.88185560215983
2017-11-04;0;0
2017-11-05;10;0.0230548448172787
2017-11-06;1250;2.88185560215983
2017-11-07;1680;3.87321392930281
2017-11-08;1240;2.85880075734255
2017-11-09;1250;2.88185560215983
2017-11-10;1730;3.98848815338921
2017-11-11;0;0
2017-11-12;10;0.0230548448172787
2017-11-13;1700;3.91932361893737
2017-11-14;1250;2.88185560215983
2017-11-15;1260;2.90491044697711
2017-11-16;1260;2.90491044697711
2017-11-17;1260;2.90491044697711
2017-11-18;0;0
2017-11-19;10;0.0230548448172787
2017-11-20;1270;2.92796529179439
2017-11-21;1270;2.92796529179439
2017-11-22;1260;2.90491044697711
2017-11-23;1270;2.92796529179439
2017-11-24;1260;2.90491044697711
2017-11-25;0;0
2017-11-26;10;0.0230548448172787
2017-11-27;1780;4.1037623774756
2017-11-28;1240;2.85880075734255
2017-11-29;1270;2.92796529179439
2017-11-30;1240;2.85880075734255
2017-12-01;1250;2.88185560215983
2017-12-02;0;0
2017-12-03;10;0.0230548448172787
2017-12-04;1270;2.92796529179439
2017-12-05;1250;2.88185560215983
2017-12-06;1200;2.76658137807344
2017-12-07;1240;2.85880075734255
2017-12-08;1160;2.67436199880432
2017-12-09;0;0
2017-12-10;761.532938522287;1.75570237208775
2017-12-11;908.832487309584;2.09529919598238
2017-12-12;908.832487309701;2.09529919598265
2017-12-13;908.832487309584;2.09529919598238
2017-12-14;908.832487309701;2.09529919598265
2017-12-15;908.832487309701;2.09529919598265
2017-12-16;908.832487309584;2.09529919598238
2017-12-17;908.832487309701;2.09529919598265
2017-12-18;346.639650310157;0.799172334541641
2017-12-19;1250;2.88185560215983
2017-12-20;1240;2.85880075734255
2017-12-21;1320;3.04323951588078
2017-12-22;1240;2.85880075734255
2017-12-23;0;0
2017-12-24;20;0.0461096896345573
2017-12-25;1160;2.67436199880432
2017-12-26;1260;2.90491044697711
2017-12-27;1250;2.88185560215983
2017-12-28;1210;2.78963622289072
