"Fecha";"Prec";"ET0";"Consumo";"NDVI.scl_7_8_9.Mean";"NDVI.scl_7_8_9.Mean.obj"
2019-07-10;0.1;35.4505978038493;12.0235960418414;0.221328802406788;0.198171906173229
2019-07-15;0;38.0372518983246;13.8030882560339;0.198171906173229;0.18927900865674
2019-07-20;0;38.7506045625238;25.066793028031;0.18927900865674;0.159798858687282
2019-07-25;0;40.5971241764718;13.4279520595285;0.159798858687282;0.192764166742563
2019-07-30;0;38.0903090883706;26.9232362568913;0.192764166742563;0.165946193039417
2019-08-04;0;32.8061262312133;18.4586246434349;0.165946193039417;0.196948360651732
2019-08-09;0;35.6941278670938;14.7938325698817;0.196948360651732;0.156905066221952
2019-08-14;0.4;34.6826697086035;11.9755016576741;0.156905066221952;0.184488832950592
2019-08-19;0;34.073114114429;13.3606199216942;0.184488832950592;0.140896379947662
2019-08-24;13.2;29.5839645988927;22.2869376231572;0.140896379947662;0.211854699999094
2019-08-29;23.7;25.7789392842253;16.650275798742;0.211854699999094;NA
2019-09-03;0.1;26.6115233753906;9.96313910725334;NA;0.239964302629232
2019-09-08;0;24.065494578917;19.8169035691795;0.239964302629232;NA
2019-09-13;116.3;20.103150118742;18.2277715994316;NA;NA
2019-09-18;80.5;15.1038049151719;0;NA;0.332576379179955
2019-10-03;0;21.1844879125266;1.61597130802349;0.381124839186668;0.389794677495956
2019-10-08;0;20.404667176769;26.2018204943808;0.389794677495956;0.166214276105165
2019-10-13;0;14.2379745258022;19.2858480511136;0.166214276105165;0.272484079003334
2019-10-18;0.1;14.8621714953544;16.8522722122449;0.272484079003334;NA
2019-10-23;19.9;10.2459467000921;13.9088959012022;NA;0.373965840786696
2019-10-28;0.2;10.6924582604038;0;0.373965840786696;NA
2019-11-02;0.2;11.1228556115846;5.66551845491567;NA;0.0419065905734897
2019-11-07;0;15.1428270555667;13.8800392707017;0.0419065905734897;0.178832165896893
2019-11-12;0.6;13.1878358153663;12.4468266225142;0.178832165896893;0.344067119061947
2019-11-17;0.6;11.2328324477256;18.8337608399404;0.344067119061947;NA
2019-11-22;5;6.94542102997364;17.1023630099152;NA;NA
2019-11-27;1.7;9.03094348737904;12.5814908981829;NA;0.393069609999657
2019-12-02;0;7.65475819140462;10.3114359654832;0.393069609999657;NA
2019-12-07;30.4;5.20435135282418;8.33956621462121;NA;NA
2019-12-12;0.1;7.37716510776418;12.4949210066816;NA;0.40659773349762
2019-12-17;0;6.30042888266401;13.3317632911938;0.40659773349762;NA
2019-12-22;0;9.76139167711595;17.7853032650918;NA;0.430892042815685
2019-12-27;0;6.74141993026676;16.6791324292424;0.430892042815685;NA
2020-01-01;0.2;4.08388505941371;13.2259556460256;NA;0.473175704479218
2020-01-06;0.1;3.86206214844596;12.543015390849;0.473175704479218;0.423151407390833
2020-01-11;0.2;4.90547302015601;22.7101682038301;0.423151407390833;0.428264893591404
2020-01-16;0.2;5.57083883789461;13.9281336548691;0.428264893591404;0.36912452057004
2020-01-21;24.7;6.13875621478742;4.16497366889387;0.36912452057004;NA
2020-01-26;28.6;4.61371851385265;1.57749580068959;NA;0.48435889184475
2020-01-31;0;7.61184752119555;0;0.48435889184475;0.43639761954546
2020-02-05;0;10.8773714367153;0;0.43639761954546;NA
2020-02-10;0;7.67847257019712;0;NA;0.396727122366428
2020-02-15;0;11.0541471281617;0.884936668679528;0.396727122366428;0.315364550799131
2020-02-20;3.8;9.05153832026088;0;0.315364550799131;0.187783136963844
2020-02-25;0;10.59980908105;0.586751486841861;0.187783136963844;0.378699515014887
2020-03-01;0;16.6449347812227;1.08693308218246;0.378699515014887;NA
2020-03-06;0.1;19.6351990389604;0;NA;0.344936318695545
2020-03-11;0;19.9499369580295;0.403992827005872;0.344936318695545;0.339208543300629
2020-03-16;0;17.5216127815748;2.50090797670301;0.339208543300629;NA
2020-03-21;0.8;12.1857028217567;8.71470241112666;NA;NA
2020-03-26;96.9;7.62850066800072;8.21452081578606;NA;0.323271952569485
2020-03-31;6.6;15.6713589122814;1.04845757484857;0.323271952569485;NA
2020-04-05;5.1;14.5676520505279;0;NA;0.24046303331852
2020-04-10;0;17.8531158368366;0.865698915012582;0.24046303331852;NA
2020-04-15;5.9;16.1014504252957;2.94337631104278;NA;NA
2020-04-20;8.5;13.1656864504428;2.25081717903271;NA;NA
2020-04-25;9.1;20.6327914068843;3.17422935504613;NA;NA
2020-04-30;10.4;20.075258838873;1.27931061885193;NA;0.423665896058083
2020-05-05;0;30.2734429639201;14.2891948448696;0.423665896058083;0.285508643835783
2020-05-10;0;28.374700520958;22.1471106003267;0.285508643835783;0.324708964675665
2020-05-15;26.5;25.0141669316393;23.8781082604117;0.324708964675665;NA
2020-05-20;1.2;23.6793840019056;9.90877374977282;NA;0.352888666093349
2020-05-25;0;33.3013162789654;14.7475811366499;0.352888666093349;NA
2020-05-30;0;31.6802409691483;22.8664595880367;NA;0.347400270402432
2020-06-04;0.2;30.3708736565837;15.2582861447972;0.347400270402432;NA
2020-06-09;12.8;28.8860331670661;12.1129218238381;NA;0.31890015800794
2020-06-14;1.3;33.8600068916859;18.3280758671956;0.31890015800794;0.288789644837379
2020-06-19;0;35.1455727292156;17.8130734365334;0.288789644837379;0.276058532297611
2020-06-24;0;34.05840280649;17.7771317557031;0.276058532297611;NA
2020-06-29;0;34.7713007740165;23.0254154695195;NA;0.262363933026791
2020-07-04;0;36.985072579137;103.560401356035;0.262363933026791;0.228152640163898
2020-07-09;0;35.5016201584609;128.883450961075;0.228152640163898;0.257096007466316
