"Fecha";"NDVI.NA.Min";"NDVI.NA.Q1";"NDVI.NA.Median";"NDVI.NA.Mean";"NDVI.NA.Q3";"NDVI.NA.Max";"NDVI.NA.n"
2017-10-03;0.12604284286499;0.331014148890972;0.480956718325615;0.422045490145683;0.527094662189484;0.579578161239624;10
2017-10-13;0.13730376958847;0.220726873725653;0.331888794898987;0.328258413076401;0.439904779195786;0.497707575559616;10
2017-10-23;-0.0061303828842938;0.0121066197752953;0.0192368859425187;0.0175501620862633;0.02464366145432;0.0316043421626091;10
2017-11-02;0.0577343888580799;0.181845746934414;0.328810855746269;0.340314013138413;0.522940091788769;0.55058366060257;10
2017-11-12;0.0644647851586342;0.218730423599482;0.373235017061234;0.379722820967436;0.545078128576279;0.652048468589783;10
2017-11-22;0.164255991578102;0.228233065456152;0.275496557354927;0.289170540869236;0.344323188066483;0.407525390386581;10
2017-12-02;0.166090667247772;0.252135068178177;0.393579483032227;0.407744790613651;0.588995546102524;0.639735758304596;10
2017-12-12;0.194950237870216;0.376271314918995;0.442446902394295;0.471224020421505;0.615463793277741;0.681528687477112;10
2017-12-17;0.0878441631793976;0.180177357047796;0.371459349989891;0.371754249930382;0.569181136786938;0.639129400253296;10
2017-12-22;0.081906333565712;0.189522303640842;0.376359432935715;0.3620371773839;0.494351156055927;0.633942544460297;10
2017-12-27;0.131372556090355;0.284510567784309;0.424080401659012;0.421220256388187;0.586734220385552;0.63152801990509;10
2018-01-01;0.166847944259644;0.248083051294088;0.423682346940041;0.429564319550991;0.594717502593994;0.744065284729004;10
2018-01-06;0.0540155246853828;0.0849792025983334;0.0957844294607639;0.099081102758646;0.124158352613449;0.136818692088127;10
2018-01-11;0.107589036226273;0.262901708483696;0.387798875570297;0.413135223090649;0.613782316446304;0.706928610801697;10
2018-01-16;0.153925403952599;0.269728139042854;0.392575234174728;0.421770304441452;0.611999079585075;0.697240471839905;10
2018-01-21;0.113056719303131;0.235830336809158;0.387792125344276;0.386980703473091;0.528327912092209;0.616458833217621;10
2018-01-26;0.101120367646217;0.102655325084925;0.10468365624547;0.105910941958427;0.109362119808793;0.1114581823349;10
2018-01-31;0.0823754817247391;0.175658673048019;0.329440325498581;0.329336352646351;0.477423176169395;0.558574736118317;10
2018-02-05;0.0673489570617676;0.129035715013742;0.292255565524101;0.283746498078108;0.424621149897575;0.498975843191147;10
2018-02-10;0.101196125149727;0.167638655751944;0.295673012733459;0.303356766700745;0.428698390722275;0.543216109275818;10
2018-02-15;0.0975425317883492;0.179331194609404;0.355167716741562;0.334351255744696;0.493828140199184;0.544738709926605;10
2018-02-20;0.135169491171837;0.239618882536888;0.336279973387718;0.353256972134113;0.47777534276247;0.581774294376373;10
2018-03-02;0.00590234296396375;0.00694630504585803;0.00778106157667935;0.0080874162260443;0.00858672708272934;0.0112694529816508;10
2018-03-07;0.058069683611393;0.169831976294518;0.293094366788864;0.319632606953383;0.48461975902319;0.584715962409973;10
2018-03-12;0.0930280983448029;0.192082680761814;0.307746186852455;0.331712019443512;0.465603053569794;0.614299178123474;10
2018-03-17;-0.000767106481362134;0.00270859029842541;0.00372875446919352;0.00487574460566975;0.00787053047679365;0.0112686855718493;10
2018-03-22;0.238851875066757;0.283534780144691;0.37770326435566;0.381065067648888;0.461975187063217;0.561974763870239;10
2018-03-27;0.113248281180859;0.168070305138826;0.276879593729973;0.295327217131853;0.427283369004726;0.515137314796448;10
2018-04-01;0.134784772992134;0.190502017736435;0.230320021510124;0.234759077429771;0.292681664228439;0.32092696428299;10
2018-04-06;0.0184397157281637;0.0204669763334095;0.0215007113292813;0.0214563954621553;0.0224541667848825;0.0240100771188736;10
2018-04-11;0.173600256443024;0.242392223328352;0.286987274885178;0.28276120275259;0.298108287155628;0.445354223251343;10
2018-04-16;0.0886431485414505;0.21883949264884;0.337499931454659;0.334254276752472;0.456208497285843;0.5423663854599;10
2018-04-21;0.126003608107567;0.150178890675306;0.175062566995621;0.176552699506283;0.20945467799902;0.229438588023186;10
2018-04-26;0.00376084120944142;0.00477600854355842;0.00709079788066447;0.00689824530854821;0.00863235979340971;0.0103719877079129;10
2018-05-01;0.178510189056396;0.22485139593482;0.282155200839043;0.281164854764938;0.324248775839806;0.389371991157532;10
2018-05-06;0.255010902881622;0.342149898409843;0.407776698470116;0.396713483333588;0.462180495262146;0.489815711975098;10
2018-05-11;0.0784427672624588;0.131958331912756;0.160626977682114;0.167565938830376;0.184326030313969;0.286568343639374;10
2018-05-16;0.335507720708847;0.377923972904682;0.4368517100811;0.429763326048851;0.480076335370541;0.530449032783508;10
2018-05-21;0.248003870248795;0.332444824278355;0.402690827846527;0.397791495919228;0.478351779282093;0.503384232521057;10
2018-05-26;0.179822877049446;0.21313875541091;0.234437502920628;0.234064075350761;0.254850212484598;0.301032572984695;10
2018-05-31;0.163461536169052;0.242911022156477;0.294328108429909;0.275635007023811;0.324854865670204;0.348075360059738;10
2018-06-05;0.00331596401520073;0.00701424502767623;0.00835527339950204;0.00847474646288902;0.00989395147189498;0.0123574147000909;10
2018-06-10;0.182330012321472;0.206943519413471;0.266531139612198;0.273378394544125;0.333539977669716;0.402674585580826;10
2018-06-15;0.319595813751221;0.405949391424656;0.462936788797379;0.448380547761917;0.5024449005723;0.532488107681274;10
2018-06-25;0.173879444599152;0.281856402754784;0.360393792390823;0.339334115386009;0.386167354881763;0.467535018920898;10
2018-06-30;0.112620666623116;0.254174534231424;0.307387351989746;0.312118072807789;0.376679606735706;0.481639802455902;10
