Fecha;NDVI.clear_sky.Min;NDVI.clear_sky.Q1;NDVI.clear_sky.Median;NDVI.clear_sky.Mean;NDVI.clear_sky.Q3;NDVI.clear_sky.Max;NDVI.clear_sky.n
2018-12-17;0.419275134801865;0.419275134801865;0.419275134801865;0.419275134801865;0.419275134801865;0.419275134801865;1
2019-11-27;0.219773679971695;0.219773679971695;0.219773679971695;0.219773679971695;0.219773679971695;0.219773679971695;1
2019-12-02;;;;;;;0
2020-01-01;;;;;;;0
2020-01-06;0.31122088432312;0.31122088432312;0.31122088432312;0.31122088432312;0.31122088432312;0.31122088432312;1
2020-01-11;0.403299391269684;0.403299391269684;0.403299391269684;0.403299391269684;0.403299391269684;0.403299391269684;1
2020-01-16;0.299377053976059;0.299377053976059;0.299377053976059;0.299377053976059;0.299377053976059;0.299377053976059;1
2020-01-21;;;;;;;0
2020-01-26;0.424290210008621;0.424290210008621;0.424290210008621;0.424290210008621;0.424290210008621;0.424290210008621;1
2020-01-31;0.461843848228455;0.461843848228455;0.461843848228455;0.461843848228455;0.461843848228455;0.461843848228455;1
2020-02-05;;;;;;;0
2020-02-10;0.476028680801392;0.476028680801392;0.476028680801392;0.476028680801392;0.476028680801392;0.476028680801392;1
2020-02-15;0.306122452020645;0.306122452020645;0.306122452020645;0.306122452020645;0.306122452020645;0.306122452020645;1
2020-02-20;0.335563719272614;0.335563719272614;0.335563719272614;0.335563719272614;0.335563719272614;0.335563719272614;1
2020-02-25;0.374617218971252;0.374617218971252;0.374617218971252;0.374617218971252;0.374617218971252;0.374617218971252;1
2020-03-01;;;;;;;0
2020-03-06;0.284077882766724;0.284077882766724;0.284077882766724;0.284077882766724;0.284077882766724;0.284077882766724;1
2020-03-11;0.414979755878449;0.414979755878449;0.414979755878449;0.414979755878449;0.414979755878449;0.414979755878449;1
2020-03-16;;;;;;;0
2020-03-21;;;;;;;0
2020-03-26;0.292307704687119;0.292307704687119;0.292307704687119;0.292307704687119;0.292307704687119;0.292307704687119;1
2020-03-31;;;;;;;0
2020-04-05;0.242574259638786;0.242574259638786;0.242574259638786;0.242574259638786;0.242574259638786;0.242574259638786;1
2020-04-10;;;;;;;0
2020-04-15;;;;;;;0
2020-04-20;;;;;;;0
2020-04-25;;;;;;;0
2020-04-30;0.456686288118362;0.456686288118362;0.456686288118362;0.456686288118362;0.456686288118362;0.456686288118362;1
2020-07-04;;;;;;;0
2020-07-09;0.404837965965271;0.404837965965271;0.404837965965271;0.404837965965271;0.404837965965271;0.404837965965271;1
2020-07-14;;;;;;;0
2020-07-19;0.349391490221024;0.349391490221024;0.349391490221024;0.349391490221024;0.349391490221024;0.349391490221024;1
2020-07-24;0.242661446332932;0.242661446332932;0.242661446332932;0.242661446332932;0.242661446332932;0.242661446332932;1
2020-07-29;0.469800353050232;0.469800353050232;0.469800353050232;0.469800353050232;0.469800353050232;0.469800353050232;1
2020-08-03;;;;;;;0
2020-08-08;0.528467178344727;0.528467178344727;0.528467178344727;0.528467178344727;0.528467178344727;0.528467178344727;1
2020-08-13;0.239390388131142;0.239390388131142;0.239390388131142;0.239390388131142;0.239390388131142;0.239390388131142;1
2020-08-18;;;;;;;0
2020-08-23;0.211423084139824;0.211423084139824;0.211423084139824;0.211423084139824;0.211423084139824;0.211423084139824;1
2020-08-28;0.460846573114395;0.460846573114395;0.460846573114395;0.460846573114395;0.460846573114395;0.460846573114395;1
2020-09-02;0.254347831010819;0.254347831010819;0.254347831010819;0.254347831010819;0.254347831010819;0.254347831010819;1
2020-09-07;0.369887232780457;0.369887232780457;0.369887232780457;0.369887232780457;0.369887232780457;0.369887232780457;1
2020-09-17;;;;;;;0
2020-09-22;0.299722999334335;0.299722999334335;0.299722999334335;0.299722999334335;0.299722999334335;0.299722999334335;1
2020-09-27;0.472469836473465;0.472469836473465;0.472469836473465;0.472469836473465;0.472469836473465;0.472469836473465;1
2020-10-02;;;;;;;0
2020-10-07;0.528830289840698;0.528830289840698;0.528830289840698;0.528830289840698;0.528830289840698;0.528830289840698;1
2020-10-12;0.32019704580307;0.32019704580307;0.32019704580307;0.32019704580307;0.32019704580307;0.32019704580307;1
2020-10-17;0.521573603153229;0.521573603153229;0.521573603153229;0.521573603153229;0.521573603153229;0.521573603153229;1
2020-10-27;0.418145298957825;0.418145298957825;0.418145298957825;0.418145298957825;0.418145298957825;0.418145298957825;1
2020-11-11;0.270725399255753;0.270725399255753;0.270725399255753;0.270725399255753;0.270725399255753;0.270725399255753;1
2020-11-26;;;;;;;0
2020-12-06;0.485357016324997;0.485357016324997;0.485357016324997;0.485357016324997;0.485357016324997;0.485357016324997;1
2020-12-11;;;;;;;0
2020-12-21;0.3047034740448;0.3047034740448;0.3047034740448;0.3047034740448;0.3047034740448;0.3047034740448;1
2020-12-26;0.414476335048676;0.414476335048676;0.414476335048676;0.414476335048676;0.414476335048676;0.414476335048676;1
2020-12-31;0.355802863836288;0.355802863836288;0.355802863836288;0.355802863836288;0.355802863836288;0.355802863836288;1
2021-01-05;0.490867584943771;0.490867584943771;0.490867584943771;0.490867584943771;0.490867584943771;0.490867584943771;1
2021-01-10;0.0308704450726509;0.0308704450726509;0.0308704450726509;0.0308704450726509;0.0308704450726509;0.0308704450726509;1
2021-01-15;0.361099541187286;0.361099541187286;0.361099541187286;0.361099541187286;0.361099541187286;0.361099541187286;1
2021-01-20;;;;;;;0
2021-01-25;;;;;;;0
2021-01-30;;;;;;;0
2021-02-04;;;;;;;0
2021-02-09;;;;;;;0
