"fecha";"tmed";"hrmed";"NDVI_mean_6400127";"Anomaly_6400127";"Anomalia2_6400127";"NDVI_mean_6445184";"Anomaly_6445184";"Anomalia2_6445184";"NDVI_mean_6361595";"Anomaly_6361595";"Anomalia2_6361595";"NDVI_mean_6459510";"Anomaly_6459510";"Anomalia2_6459510";"NDVI_mean_6505874";"Anomaly_6505874";"Anomalia2_6505874";"NDVI_mean_6429769";"Anomaly_6429769";"Anomalia2_6429769";"NDVI_mean_6434299";"Anomaly_6434299";"Anomalia2_6434299";"NDVI_mean_6440364";"Anomaly_6440364";"Anomalia2_6440364";"NDVI_mean_6444399";"Anomaly_6444399";"Anomalia2_6444399";"NDVI_mean_6466879";"Anomaly_6466879";"Anomalia2_6466879";"NDVI_mean_6472805";"Anomaly_6472805";"Anomalia2_6472805";"NDVI_mean_6603717";"Anomaly_6603717";"Anomalia2_6603717";"NDVI_mean_6605396";"Anomaly_6605396";"Anomalia2_6605396";"temp1";"temp2";"temp3";"temp4";"temp5";"temp6";"temp7";"temp8";"temp9";"temp10";"hum1";"hum2";"hum3";"hum4";"hum5";"hum6";"hum7";"hum8";"hum9";"hum10";"mean_temp_last10";"mean_hum_last10";"anomaliesAgg";"anomaliesAgg2";"anomaliesAgg3";"n_mediciones"
2018-01-16;11.3583333333333;56.7333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.502255365252495;0;0;NA;NA;NA;0.378682007392248;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.471017003059387;1;1;NA;NA;NA;0.181003690642469;0;1;8.47083333333333;9.68333333333333;7.94583333333333;10.6;11.6333333333333;10.5625;7.17916666666667;6.26666666666667;7.54166666666667;8.55;81.1666666666667;61.3583333333333;67.1041666666667;45.2666666666667;44.8;75.2708333333333;68.7625;68.4208333333333;67.8;79.2375;1.5875;10.8041666666667;0.153846153846154;0.5;0.230769230769231;4
2018-01-21;17.4833333333333;38.8875;0.44727911055088;0;0;NA;NA;NA;NA;NA;NA;0.449383959174156;0;0;0.51619490981102;0;0;0.360971480607986;0;1;NA;NA;NA;0.346666663885117;0;1;NA;NA;NA;NA;NA;NA;0.397480756044388;0;0;NA;NA;NA;0.174083313521217;0;1;11.3583333333333;8.47083333333333;9.68333333333333;7.94583333333333;10.6;11.6333333333333;10.5625;7.17916666666667;6.26666666666667;7.54166666666667;56.7333333333333;81.1666666666667;61.3583333333333;67.1041666666667;45.2666666666667;44.8;75.2708333333333;68.7625;68.4208333333333;67.8;1.7962962962963;12.2481481481482;0;0;0.230769230769231;7
2018-01-26;11.2708333333333;46.4666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.4833333333333;11.3583333333333;8.47083333333333;9.68333333333333;7.94583333333333;10.6;11.6333333333333;10.5625;7.17916666666667;6.26666666666667;38.8875;56.7333333333333;81.1666666666667;61.3583333333333;67.1041666666667;45.2666666666667;44.8;75.2708333333333;68.7625;68.4208333333333;2.33518518518519;14.162037037037;0;NA;0;0
2018-01-31;10.3333333333333;89.7541666666667;0.378398716449738;0;1;NA;NA;NA;NA;NA;NA;0.402275040745735;0;0;NA;NA;NA;0.316196464002132;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.188377960201572;0;1;11.2708333333333;17.4833333333333;11.3583333333333;8.47083333333333;9.68333333333333;7.94583333333333;10.6;11.6333333333333;10.5625;7.17916666666667;46.4666666666667;38.8875;56.7333333333333;81.1666666666667;61.3583333333333;67.1041666666667;45.2666666666667;44.8;75.2708333333333;68.7625;2.92407407407407;14.9662037037037;0;0;0.153846153846154;4
2018-02-05;7.475;77.9833333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.27975282818079;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.20278711616993;0;0;10.3333333333333;11.2708333333333;17.4833333333333;11.3583333333333;8.47083333333333;9.68333333333333;7.94583333333333;10.6;11.6333333333333;10.5625;89.7541666666667;46.4666666666667;38.8875;56.7333333333333;81.1666666666667;61.3583333333333;67.1041666666667;45.2666666666667;44.8;75.2708333333333;2.65231481481482;19.0527777777778;0.0769230769230769;0.5;0.0769230769230769;2
2018-02-10;9.85416666666667;41.8583333333333;0.263745106756687;1;1;NA;NA;NA;NA;NA;NA;0.365600809454918;0;1;0.416810095310211;0;0;0.271943185478449;0;0;0.341997593641281;0;0;0.299330160021782;0;0;NA;NA;NA;NA;NA;NA;0.316371113061905;0;0;NA;NA;NA;0.167475390960188;1;1;7.475;10.3333333333333;11.2708333333333;17.4833333333333;11.3583333333333;8.47083333333333;9.68333333333333;7.94583333333333;10.6;11.6333333333333;77.9833333333333;89.7541666666667;46.4666666666667;38.8875;56.7333333333333;81.1666666666667;61.3583333333333;67.1041666666667;45.2666666666667;44.8;2.85092592592593;16.975;0.153846153846154;0.25;0.230769230769231;8
2018-02-15;14.9541666666667;54.4;0.384954318404198;0;0;NA;NA;NA;NA;NA;NA;0.451547101140022;0;0;0.462620258331299;0;0;0.261097315698862;0;0;0.308392971754074;0;1;0.290320858359337;0;0;NA;NA;NA;NA;NA;NA;0.214120745658875;1;1;NA;NA;NA;0.166603583842516;1;1;9.85416666666667;7.475;10.3333333333333;11.2708333333333;17.4833333333333;11.3583333333333;8.47083333333333;9.68333333333333;7.94583333333333;10.6;41.8583333333333;77.9833333333333;89.7541666666667;46.4666666666667;38.8875;56.7333333333333;81.1666666666667;61.3583333333333;67.1041666666667;45.2666666666667;3.00046296296296;20.937037037037;0.153846153846154;0.25;0.230769230769231;8
2018-02-20;14.1958333333333;52.8791666666667;0.327539369463921;1;1;NA;NA;NA;NA;NA;NA;0.403008118271828;0;0;0.494394436478615;0;0;0.284237515181303;0;0;0.464516133069992;0;0;0.276512011885643;0;0;NA;NA;NA;NA;NA;NA;0.393598109483719;0;0;NA;NA;NA;0.18029869128676;0;1;14.9541666666667;9.85416666666667;7.475;10.3333333333333;11.2708333333333;17.4833333333333;11.3583333333333;8.47083333333333;9.68333333333333;7.94583333333333;54.4;41.8583333333333;77.9833333333333;89.7541666666667;46.4666666666667;38.8875;56.7333333333333;81.1666666666667;61.3583333333333;67.1041666666667;3.27222222222222;19.9041666666667;0.0769230769230769;0.125;0.153846153846154;8
2018-03-02;12.0291666666667;75.5833333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14.1958333333333;14.9541666666667;9.85416666666667;7.475;10.3333333333333;11.2708333333333;17.4833333333333;11.3583333333333;8.47083333333333;9.68333333333333;52.8791666666667;54.4;41.8583333333333;77.9833333333333;89.7541666666667;46.4666666666667;38.8875;56.7333333333333;81.1666666666667;61.3583333333333;3.16342592592593;19.4347222222222;0;NA;0;0
2018-03-07;12.6916666666667;49.7375;0.317116864025593;1;1;NA;NA;NA;NA;NA;NA;0.36688432097435;0;1;0.344707474112511;0;1;0.244366835802794;0;0;0.34603750705719;0;0;0.256934486329556;0;0;NA;NA;NA;NA;NA;NA;0.29632842540741;0;0;NA;NA;NA;0.196552768349648;0;0;12.0291666666667;14.1958333333333;14.9541666666667;9.85416666666667;7.475;10.3333333333333;11.2708333333333;17.4833333333333;11.3583333333333;8.47083333333333;75.5833333333333;52.8791666666667;54.4;41.8583333333333;77.9833333333333;89.7541666666667;46.4666666666667;38.8875;56.7333333333333;81.1666666666667;3.26944444444444;19.7564814814815;0.0769230769230769;0.125;0.230769230769231;8
