"Fecha";"Prec.5";"ET0.5";"Consumo.5";"Prec.4";"ET0.4";"Consumo.4";"Prec.3";"ET0.3";"Consumo.3";"Prec.2";"ET0.2";"Consumo.2";"Prec.1";"ET0.1";"Consumo.1";"NDVI.NA.Mean.5";"NDVI.NA.Mean"
2019-07-10;0;7.15988250286798;3.92861365766048;0;7.29775567970553;2.40046072110489;0;8.61134475763215;1.76681485401403;0.2;5.61874744793759;3.90225392826364;0;8.94099139234402;3.80897537731633;0.109851952145497;0.13441588319838
2019-07-15;0;7.4021215786806;2.02726451399583;0;7.87013411669724;3.80948328609336;0;8.82542389339201;3.89527202283564;0;7.75632501483257;2.31204307615764;0;9.57804882781926;2.31221789983015;0.13441588319838;0.115376841773589
2019-07-20;0;9.43769822932978;2.52850365627555;0;7.16023985699905;1.81757973139659;0;7.33878241523569;3.94833008748231;0;7.61987810271476;2.09993963501029;0;8.14092417423072;2.33891991557815;0.115376841773589;0.118503783270717
2019-07-25;0;8.53411180234624;2.27881369653287;0;9.41729003995303;2.41808743573438;0;8.74394391056794;2.21282788132414;0;9.13299488374904;2.13984175819782;0;8.35236964412008;2.08691803174142;0.118503783270717;0.123117421319087
2019-07-30;0;7.95803238426104;4.49823151020622;0;7.5734662173855;4.48489890482549;0;8.75175821101042;2.41839659759839;0;7.7312099797554;4.90909842612264;0;7.0663129666846;2.40490389053657;0.123117421319087;0.127364367246628
2019-08-04;0;7.25128109419281;4.88263380252082;0;5.93611343944408;4.95589412277739;0;6.24670077750798;2.33349486096591;0;6.37191215562536;0;0;6.41356447647013;0;0.127364367246628;0.121149577945471
2019-08-09;0;6.95465455857613;0;0;6.72657233596474;0;0;7.93263425216305;0;0;7.64435014575565;0;0;7.69811342288868;0;0.121149577945471;0.139722179124753
2019-08-14;0;8.92065562014296;0;0;8.27487982048104;0;0.6;6.61564094321534;0;0;8.28828285097291;0;0.2;5.46600845618703;0;0.139722179124753;0.118392340590556
2019-08-19;0;6.2465468073195;0;0;6.73050803384041;0;0;6.51834112892947;0;0;7.16793311004475;0;0;7.19719352874947;0;0.118392340590556;0.129690691828728
2019-08-24;0;6.68787808072651;0;0;5.58722824002647;0;17.4;5.18720241339938;0;0.2;5.51447094158443;0;0;5.77262050589209;0;0.129690691828728;0.0920616519947847
2019-08-29;0;5.43243865645317;0;0;5.52168101974624;0;4;4.67576279104606;0;6;4.10922077526336;0;0;5.39555544764306;0;0.0920616519947847;0.10906872972846
2019-09-03;0.2;4.39986243952731;0;0;5.26370150682542;0;0;4.90355281166228;0;0;5.67050063991249;0;0;3.76886625255155;0;0.10906872972846;0.113971913605928
2019-09-08;0.2;5.04422962623839;0;0;4.9938123901076;0;0;4.30400971772494;0.238496295031336;0;4.49077573185955;0;0;5.02091965632777;0;0.113971913605928;0.13752347951134
2019-09-13;0;4.69489748502621;0;0;4.50015009335227;0;0;5.81333178067099;0;4.2;3.26860382728216;0;136.8;1.29319174233929;0;0.13752347951134;0.0446400936692953
2019-09-18;111.411491020214;2.49778974209326;0;5.90900168199891;1.43230841264974;0;0.379925013891721;3.47348954633814;0;0.379925013891721;3.84838382193312;0;0.379925013891721;2.73634893213287;0;0.0446400936692953;0.153823502485951
2019-10-03;0.379925013891721;3.93907942535877;0;0.379925013891721;3.89381754446682;0;0.379925013891721;4.06094437056878;0;0.379925013891721;4.75979759817545;0;0.379925013891721;4.38022030402848;0;0.158679859588544;0.163442517320315
2019-10-08;0.379925013891721;4.12719850534955;0;0.18996250694586;3.93586076143284;0;0;4.08479663469673;0;0;3.93887788829936;0;0;4.76622536007819;0;0.163442517320315;0.124976095557213
2019-10-13;0;2.77962187319665;0;0;3.06256381659995;0;0;2.87539698028191;0;0;2.89806707877851;0;0;2.50470662050505;0;0.124976095557213;0.16441261145131
2019-10-18;0;3.18506607501655;0;0;2.46045348663986;0;0;2.98178656569785;0;0;2.955747677308;0;0;3.52757595567237;0;0.16441261145131;0.178490682939688
2019-10-23;0;3.0250774475688;0;0;3.22537201468447;0;1;1.25839510538481;0;0.2;1.77354749273095;0;19.1;0.737501487427467;0;0.178490682939688;0.206966361775994
2019-10-28;0.2;1.71779258833051;0;0;2.85442586550528;0;0;2.96146377787541;0;0;2.28950636896249;0;0;1.75844600310024;0;0.206966361775994;0.139716139435768
2019-11-02;0.2;1.51075319667024;0;0.2;3.36184400196817;0;0;2.9485028294244;0;0;3.11550752462413;0;0;3.11711235209713;0;0.139716139435768;0.0395580927530924
2019-11-07;0;3.57659307885663;0;0;4.11452611770186;0;0;2.86588759917695;0;0;2.89310782598214;0;0;2.76052808020512;0;0.0395580927530924;0.186472011605899
2019-11-12;0;2.0442726840414;0;0;2.81723779491474;0;0.2;2.75305112230712;0;0;3.04231806665231;0;0;2.62506947568192;0;0.186472011605899;0.196173034856717
2019-11-17;0;2.47691805085247;0;0;2.17062376871256;0;1;1.73658788880746;0;0;1.97248103113054;0;0;2.34056032342721;0;0.196173034856717;0.134595898290475
2019-11-22;0.4;2.03400167008406;0;1.2;1.75450250934523;0;0;1.57374855410208;0;0.2;1.37058283481785;0;0.4;1.04217580394092;0;0.134595898290475;0.0174082305282354
2019-11-27;8;0.880499683211331;0;0;2.73508435143736;0;0;2.11054458100761;0;0;1.72778383333775;0;0;1.46465692588873;0;0.0174082305282354;0.208770023783048
2019-12-02;0;1.73693919193742;0;0;1.92457631151585;0;0;2.1493478861562;0;0;1.6470636088976;0;0.2;2.07697721259406;0;0.208770023783048;0.0364312695960204
