"Contrato";"Fecha_Min";"Fecha_Max";"Tiempo_Min";"Tiempo_Mean";"Tiempo_Max";"Consumo_Min";"Consumo_Max"
"6432723";2017-09-29;2022-02-10;2362;9292;709180;-1;1486
"6432724";2017-09-29;2022-02-10;3587;4274;694808;-230;77220
"6432725";2017-09-29;2022-02-10;2521;4291;694789;-40;39900
"6434297";2018-04-27;2022-02-10;1728;13386;682408;-350;113180
"6434298";2017-09-29;2022-02-10;3554;6207;2419916;0;32163
"6434299";2017-09-29;2022-02-10;3595;9285;694780;-20;57380
"6436097";2017-09-29;2022-02-10;3552;428880;76310296;0;51270
"6436099";2017-09-29;2022-02-10;2420;184347;1126774;-1300;35590
"6436100";2019-01-13;2021-09-27;3596;19042;375164;-18110;3080
"6436906";2017-09-29;2022-02-10;2437;7854;2032171;-472041;4240
"6436974";2017-09-29;2022-02-10;3590;11367;709190;-5080383;6710
"6437379";2017-09-29;2022-02-10;3597;69639;1155578;0;12606
"6438510";2017-11-16;2022-02-10;3301;11867;5705882;0;216962
"6438908";2017-09-29;2022-02-09;3594;38305;1558770;0;120030
"6439676";2017-09-29;2022-02-10;3368;6458;694808;0;300290
"6439812";2019-04-16;2022-02-10;3577;9235;694821;0;3353
"6439813";2017-09-29;2022-02-10;2971;5047;694816;0;282160
"6439814";2017-09-29;2022-02-10;3528;34706;18368398;-15761700;943380
"6439815";2018-07-05;2022-02-10;2395;17217;766813;-9;16754
"6440330";2017-09-29;2022-02-10;3594;4699;694786;-42853876;5230
"6440364";2017-09-29;2022-02-10;3408;4251;694821;0;80714
"6440366";2017-11-16;2022-02-10;3598;5563;46800;0;1733
"6440370";2017-09-29;2022-02-10;2146;5448;694785;0;3384
"6440893";2017-09-30;2022-02-10;3578;58728;8657816;0;429830
"6440894";2017-10-01;2022-02-10;3593;31970;1860230;-2199632;9637
"6441166";2017-09-29;2022-02-10;3595;20016;737985;0;2520
"6441169";2017-09-29;2022-02-10;3596;18422;709187;0;108030
"6441171";2017-10-23;2022-02-10;3596;15465;709177;0;1700
"6441172";2017-09-29;2022-02-10;3589;13303;694794;0;7900
"6441173";2017-09-29;2022-02-10;3598;23739;723585;0;9120
"6441174";2017-09-29;2022-02-10;3390;6910;694789;0;34260
"6441175";2017-09-29;2022-02-10;3583;23058;752385;0;45810
"6441232";2017-09-29;2022-02-10;3585;181940;69530631;0;461770
"6441236";2017-09-29;2022-02-10;3579;30909;29059145;0;659620
"6441237";2018-06-01;2022-02-10;NA;NA;NA;0;0
"6441354";2017-09-29;2022-02-10;2553;8834;709188;0;7640
"6441356";2017-09-29;2022-02-10;2902;4254;1587640;-12236460;164880
"6441467";2017-09-29;2022-02-10;3596;21693;694792;-1;4843
"6441469";2017-09-29;2021-10-17;3571;4626;723583;0;7520
"6441473";2017-09-29;2022-02-10;3596;20496;743229;-1903863;4680
"6441899";2017-10-01;2022-02-10;2336;15909;752388;-1;21595
"6441902";2017-09-29;2022-02-06;3597;742367;31567702;0;140320
"6441903";2017-09-29;2022-02-10;2833;4729;694801;0;69080
"6441924";2017-09-30;2022-02-10;3191;29779;910761;-3006838;7352
"6442236";2021-01-04;2021-05-11;NA;NA;NA;0;0
"6442999";2017-09-29;2022-02-10;3596;7692;694783;-203;82787
"6443000";2017-09-29;2022-02-10;3596;16382;694779;0;9820
"6443006";2018-12-18;2022-02-10;3600;3600;3600;0;1
"6443729";2017-10-07;2022-02-10;3599;3746179;96252676;0;754442
"6443818";2018-11-19;2022-02-10;3435;8381;709179;-6548793;46273
"6443820";2021-08-26;2022-02-10;NA;NA;NA;NA;NA
"6443831";2017-09-29;2022-02-10;2696;4220;694812;-6171240;6040
"6444397";2017-09-29;2022-02-10;32403;1750853;11635038;-1324196;20775
"6444401";2017-09-29;2022-02-10;3390;5000;925207;-2154250;12288
"6444403";2017-09-29;2022-02-09;3596;9817;2519731;-1980289;3546
"6444406";2017-10-17;2022-02-10;3188;11547;1933213;0;52830
"6444534";2017-09-29;2022-02-10;3582;8311;968377;0;781900
"6444851";2017-09-29;2022-02-10;2455;4066;694798;0;5479
"6445155";2017-09-29;2022-02-10;2382;9969;2080764;-4;106149
"6447936";2019-01-15;2022-02-10;3591;5089;32397;0;1560
"6449098";2017-09-29;2022-02-10;3596;6596;694782;-10;9690
"6449099";2017-10-04;2022-02-10;3336;46317;2062759;0;369190
"6449801";2017-09-29;2022-02-09;2409;17828;781182;0;7050
"6449803";2017-09-29;2022-02-10;3566;13408;1343366;-2053718;5878
"6449806";2017-09-29;2022-02-10;3584;19173;2277592;-7843009;19480
"6451307";2017-09-29;2022-02-10;2362;4561;1587626;-48424855;40190
"6451392";2017-09-29;2022-02-10;3458;6374;1097983;-13;20327
"6451505";2017-09-29;2022-02-10;3459;5857;694771;-4097840;2413900
"6451703";2017-09-29;2022-02-10;3511;8934;694784;-9136469;21200
"6452755";2017-10-10;2022-02-09;2633;283934;6195667;-1845584;63857
"6453067";2021-01-13;2022-02-09;3053;24419;690909;0;2736
"6453070";2017-09-29;2022-02-10;2337;11723;11658176;0;68000
"6453255";2017-09-29;2022-02-10;3599;10710;694783;-10;7220
"6453259";2017-09-29;2022-02-10;2418;20888;3441549;-2969455;29610
"6453279";2020-09-02;2022-02-09;3561;64328;724327;0;1727
"6453281";2020-09-02;2022-02-09;2527;11069;694590;0;1584
"6453283";2017-09-29;2022-02-10;2513;11431;708405;0;20765
"6453523";2017-09-29;2022-02-10;3590;4643;694806;-30;14410
"6456676";2017-09-29;2022-02-10;3597;47210;694790;0;26690
"6456677";2017-09-29;2022-02-10;3546;14627;766777;0;72410
"6456678";2017-10-03;2022-02-10;3598;220133;7376248;-326;261290
"6456679";2017-09-29;2022-02-09;2135;15085;723586;-560;107300
"6456680";2017-09-29;2020-11-11;3523;59098;1630777;-10;32540
"6456681";2017-09-29;2022-02-10;3147;6360;723588;-3;2198
"6456682";2017-09-29;2022-02-10;3520;26500;3387497;0;74373
"6456864";2017-09-29;2022-02-10;3559;4842;694807;0;3642
"6457709";2017-09-29;2022-01-23;3592;71793;9759681;0;1175714
"6459510";2017-09-29;2022-02-09;1725;30562;1457967;-79;74428
"6461478";2017-09-29;2022-02-09;2521;4376;722741;-16613246;20199
"6462152";2017-09-29;2022-02-10;3574;4308;723598;-22900150;341410
"6462640";2017-09-29;2022-02-10;2397;4517;694813;-35;26031
"6464310";2017-09-30;2022-02-10;3366;20596;4208269;-8170574;46369
"6465914";2017-09-29;2022-02-10;3600;3600;3600;0;2
"6466823";2017-09-29;2022-02-09;3452;11868;709186;0;8460
"6466824";2017-09-29;2022-02-10;3595;9669;694785;-200;4080
"6466825";2017-09-29;2022-02-10;2333;9980;766782;0;3854
"6467039";2017-09-29;2022-02-10;2677;4160;694784;0;80110
"6467040";2017-09-29;2022-02-10;3541;10436;696943;0;9672
"6467298";2017-09-29;2022-02-10;3226;71583;6843437;-10;75410
"6470504";2017-09-29;2022-02-10;2427;6175;2131746;-4719242;65536
"6472805";2017-09-29;2022-02-10;3467;4486;694811;-198;20599
"6472973";2018-12-03;2020-08-06;3588;38614;35714712;0;232920
"6473003";2017-09-29;2022-02-10;3596;17797;449988;-7586010;29938
"6473494";2017-09-29;2022-02-10;3470;11762;709183;-1633323;8608
"6474329";2017-09-29;2022-02-10;3585;5768;709181;-10225915;1700120
"6475894";2017-09-29;2022-02-10;586;11019;752375;-8693452;197866
"6476819";2017-09-29;2022-02-10;2425;4594;2782831;-19684767;13700
"6476884";2021-08-26;2022-02-10;NA;NA;NA;NA;NA
"6477901";2017-09-29;2022-02-10;3440;4750;694798;-3;20540
"6478559";2017-10-01;2022-02-10;3593;499914;8111589;0;127600
"6481230";2017-09-29;2018-09-23;NA;NA;NA;0;0
"6481231";2017-09-29;2022-02-08;3592;104807;1155580;0;130574
"6482295";2017-09-29;2022-02-10;1053;117738;4903033;-727;80197
"6483443";2018-10-15;2022-02-10;3590;4128;1278850;-1444073;1510950
"6484593";2017-09-29;2022-02-10;3552;11449;25053515;-376;958050
"6489824";2017-11-02;2022-02-10;3596;10553;824376;-619;67434
"6490927";2021-07-30;2021-08-18;NA;NA;NA;NA;NA
"6491890";2017-09-29;2022-02-10;3290;31820;1040369;-232;26534
"6495095";2017-09-29;2022-02-10;2;5234;709189;-7276453;32424
"6496230";2017-09-29;2022-02-10;3290;8852;1242019;-2503370;3800
"6496232";2017-10-10;2022-02-09;3596;60864;5230744;0;92796
"6496354";2017-09-29;2022-02-10;3583;3878;694819;0;11276
"6500330";2017-09-29;2022-02-10;3552;5788;694810;0;4250
"6501672";2017-11-02;2022-02-10;3245;6684;694786;0;14000
"6502323";2017-09-29;2022-02-10;3598;695219;27636633;0;1081240
"6502668";2018-08-21;2022-02-10;3005;12102;867572;0;39805
"6503842";2017-09-29;2022-02-10;3582;5360;694813;-11796450;7632
"6504565";2017-09-29;2022-02-10;3547;5730;709206;0;14246
"6505874";2017-10-01;2022-02-10;3596;109145;7577903;0;62614
"6506989";2017-09-29;2022-02-10;3289;5039;709207;-2417157;14811
"6506990";2017-09-29;2022-02-10;3334;3663;18002;-2;12805
"6507780";2017-09-29;2022-02-10;2527;6102;694810;0;17420
"6507785";2017-09-29;2022-02-10;2443;4046;694823;0;4021580
"6510170";2017-10-12;2022-02-10;3595;19721;6944195;0;55196
"6513165";2017-09-29;2022-02-10;3596;740520;97155122;0;1304500
"6513888";2017-09-29;2021-10-19;3595;33023;10987045;-10637323;233577
"6515860";2018-04-11;2022-02-07;3600;717352;20695811;0;242920
"6515865";2017-09-29;2022-02-09;3598;76633;11668401;0;104873
"6523676";2017-09-29;2022-02-10;2883;3977;709184;-197;4994
"6524125";2017-09-29;2022-02-10;3595;13977;752386;-12124022;21270
"6525295";2017-09-29;2022-02-10;3591;4982;694809;0;11660
"6525664";2017-09-29;2022-02-10;900;27657;40469680;-94878910;624060
"6525876";2017-09-29;2022-02-10;2738;3828;694809;-9027577;24324
"6526565";2017-10-02;2022-02-10;3581;45778;33486872;0;31244
"6526963";2017-09-29;2022-02-10;3598;8911;5680819;0;14851
"6528098";2017-09-29;2022-02-10;2659;4100;718673;-32934435;975032
"6529935";2018-01-13;2018-04-25;3600;339544;2581153;0;13978
"6530198";2017-09-29;2022-02-10;3579;4671;118792;0;3278
"6533395";2017-09-29;2022-02-10;2353;3742;694806;0;38915
"6536623";2017-09-29;2022-02-10;2484;4541;694800;0;39480
"6537194";2020-01-13;2022-02-10;3586;13700;593996;0;5576
"6542447";2021-11-08;2022-02-09;NA;NA;NA;NA;NA
"6543897";2017-11-28;2022-02-10;3457;160445;34894687;0;1031240
"6544813";2017-09-29;2022-02-10;3003;6405;694813;0;3283
"6547403";2017-09-29;2022-02-10;2524;15806;27847912;-16673470;67460
"6547404";2017-09-29;2022-02-10;2647;4831;694797;0;33231
"6548037";2017-09-29;2022-02-10;2774;4650;694812;-11669360;24662
"6548038";2017-09-29;2022-02-10;3197;4790;694805;-8823038;45577
"6551656";2017-09-29;2022-02-10;2571;6079;709197;-24033730;20800
"6552773";2017-09-29;2022-02-10;3343;5313;694821;-25869290;47790
"6558924";2017-09-29;2022-02-10;2349;4104;694805;0;681830
"6559630";2017-09-29;2022-02-10;254;13553;752381;-39559410;39559410
"6560222";2017-09-29;2022-02-10;2530;4040;694790;0;55998
"6560231";2017-09-29;2022-02-10;2382;3854;694788;0;27712
"6561597";2017-09-29;2022-02-10;3596;441552;99168638;-2672523;10171
"6562156";2017-09-29;2022-02-10;3597;339553;70477640;-1;679798
"6564834";2017-09-29;2022-02-10;2379;3740;694806;-160;43320
"6566294";2020-10-08;2022-02-10;3585;4287;104409;0;12146
"6566575";2017-09-29;2022-02-10;3079;4929;694811;-27760124;47950
"6568029";2018-05-17;2022-02-10;3587;6478;32400;0;10660
"6587228";2017-09-29;2022-02-10;2888;4113;694809;0;46940
"6587395";2017-09-29;2022-02-10;3591;5590;709176;-1;1434935
"6595270";2017-09-29;2022-02-10;3523;5107;694807;0;21475
"6596867";2017-09-29;2022-02-09;3361;3868;536405;0;440961
"6598500";2017-09-29;2022-02-10;3130;4332;694808;0;37340
"6598803";2017-09-29;2022-02-10;3401;3784;694813;0;14030
"6598925";2017-09-29;2022-02-10;2625;4103;694807;0;48320
"6598940";2017-09-29;2022-02-10;2879;4184;694807;0;26640
"6603717";2018-09-01;2021-11-07;3600;92179;521987;0;2882
