Fecha;NDVI.nomask.Min;NDVI.nomask.Q1;NDVI.nomask.Median;NDVI.nomask.Mean;NDVI.nomask.Q3;NDVI.nomask.Max;NDVI.nomask.n
2018-12-17;0.109298534691334;0.170170102268457;0.289566233754158;0.280875060707331;0.393838785588741;0.437851667404175;6
2019-07-05;0.129154399037361;0.281302340328693;0.383401721715927;0.334827097753684;0.41174042224884;0.44454887509346;6
2019-07-10;0.120083250105381;0.228938259184361;0.352235972881317;0.334911620865266;0.464265994727612;0.49546617269516;6
2019-07-15;0.148245617747307;0.290842667222023;0.420882433652878;0.381679716209571;0.479336477816105;0.553750574588776;6
2019-07-20;0.0794542506337166;0.143089529126883;0.228687435388565;0.207962303111951;0.274243459105492;0.306959003210068;6
2019-07-25;0.175005465745926;0.311484351754189;0.428425297141075;0.388795251647631;0.476690739393234;0.535632193088532;6
2019-07-30;0.0433055236935616;0.160671092569828;0.268645845353603;0.248293892790874;0.329395301640034;0.434841513633728;6
2019-08-04;0.113956466317177;0.177975747734308;0.293982192873955;0.265743096669515;0.32037490606308;0.424058318138123;6
2019-08-09;0.10376762598753;0.162798516452312;0.2819804251194;0.262413778652747;0.348765715956688;0.412655502557755;6
2019-08-14;0.129501223564148;0.222383204847574;0.371475875377655;0.362950113912423;0.484357818961144;0.610576927661896;6
2019-08-19;0.088811494410038;0.15165887773037;0.296829111874104;0.28696854536732;0.402161121368408;0.498800963163376;6
2019-08-24;0.219539269804955;0.358233228325844;0.571004778146744;0.49335336436828;0.629425078630447;0.662363469600678;6
2019-08-29;0.0726950317621231;0.126943616196513;0.274429932236671;0.272741947323084;0.404796808958054;0.488862842321396;6
2019-09-03;0.139702349901199;0.291730411350727;0.435039192438126;0.4074470748504;0.54797986894846;0.605314135551453;6
2019-09-08;0.0529817044734955;0.05615249928087;0.0571858193725348;0.0571988932788372;0.0593204237520695;0.0599999986588955;6
2019-09-13;0.00463320454582572;0.0238446104340255;0.0334492214024067;0.0340413487671564;0.0469784950837493;0.060585118830204;6
2019-09-18;0.0916114822030067;0.199715219438076;0.364904835820198;0.326499905437231;0.458936788141727;0.502645492553711;6
2019-09-28;0.113689094781876;0.249778907746077;0.363070368766785;0.356265125175317;0.494459912180901;0.547489404678345;6
2019-10-03;0.0750436335802078;0.240421310067177;0.452099457383156;0.373868552347024;0.509930409491062;0.564899444580078;6
2019-10-08;0.00456204358488321;0.0349238100461662;0.0543574001640081;0.0490288031287491;0.0702345613390207;0.0769230797886848;6
2019-10-13;0.238455310463905;0.324674934148788;0.500541463494301;0.435308915873369;0.514495506882668;0.58711564540863;6
2019-10-18;0.103694878518581;0.111577458679676;0.127406656742096;0.128810469061136;0.147008024156094;0.154511749744415;6
2019-10-23;0.112651646137238;0.193617612123489;0.312043622136116;0.336059778928757;0.433349162340164;0.651693165302277;6
2019-10-28;0.0269953049719334;0.0275036497041583;0.029150303453207;0.0293589883173506;0.0297109517268837;0.034005418419838;6
2019-11-02;0.00476644420996308;0.00722795631736517;0.00970802921801805;0.00934149099824329;0.0116202302742749;0.0132075473666191;6
2019-11-07;0.101538464426994;0.115033611655235;0.147564548999071;0.191680322090785;0.234191954135895;0.386156648397446;6
2019-11-12;0.00802292302250862;0.134553961455822;0.239857830107212;0.248063338920474;0.331343427300453;0.539350152015686;6
2019-11-17;0.123331554234028;0.172689635306597;0.234472163021565;0.239174220710993;0.309796616435051;0.355769217014313;6
2019-11-22;0.0461538471281529;0.0522912573069334;0.0555531941354275;0.0561468011389176;0.0618310738354921;0.0644929260015488;6
2019-11-27;0.0159939061850309;0.141377009451389;0.21956954151392;0.251924392767251;0.399488963186741;0.481638431549072;6
2019-12-02;0.0301904324442148;0.0311684915795922;0.0336439404636622;0.0340538506085674;0.036676274612546;0.0388143956661224;6
2019-12-07;0.0485686734318733;0.0897837821394205;0.109840005636215;0.112345306823651;0.136706804856658;0.177062377333641;6
2019-12-12;0.13589945435524;0.215885788202286;0.405857756733894;0.364478642741839;0.506353691220284;0.546842753887177;6
2019-12-17;0.113178297877312;0.148664589971304;0.224020428955555;0.224225610494614;0.295137360692024;0.341745525598526;6
2019-12-22;0.0970873758196831;0.184565767645836;0.336243256926537;0.310169993589322;0.400941804051399;0.534931480884552;6
2019-12-27;0.0996604785323143;0.126651452854276;0.170090451836586;0.170164408783118;0.213388383388519;0.241152256727219;6
2020-01-01;0.237190082669258;0.317320182919502;0.40741477906704;0.399397782981396;0.481767758727074;0.550526320934296;6
2020-01-06;0.0445561148226261;0.160663846880198;0.254619494080544;0.258031863098343;0.36505301296711;0.463186591863632;6
2020-01-11;0.101857781410217;0.162557408213615;0.282025828957558;0.267575532197952;0.36421362310648;0.425199598073959;6
2020-01-16;0.0613418519496918;0.135251706466079;0.219658546149731;0.213778370370468;0.282053764909506;0.372043013572693;6
2020-01-21;-0.00786203425377607;-0.00786203425377607;-0.00786203425377607;-0.00786203425377607;-0.00786203425377607;-0.00786203425377607;6
2020-01-26;0.092163011431694;0.153972707688808;0.281335681676865;0.259583003818989;0.339360222220421;0.432443529367447;6
2020-01-31;0.069427527487278;0.15958371385932;0.254194982349873;0.255159312238296;0.350833855569363;0.442044943571091;6
2020-02-05;0.00514138815924525;0.0125377799849957;0.0136530003510416;0.0156818880544355;0.0201658247970045;0.0271411333233118;6
2020-02-10;0.11324904114008;0.158307068049908;0.211045406758785;0.251911390572786;0.327432308346033;0.469172924757004;6
2020-02-15;0.0155763244256377;0.13501688465476;0.205765180289745;0.193121588323265;0.274800293147564;0.322376728057861;6
