"Contrato";"Fecha_Min";"Fecha_Max";"Faltan";"Faltan_Max"
"6444397";2019-01-01;2021-05-15;5;1
"6444401";2019-01-01;2021-05-15;5;1
"6444403";2019-01-01;2021-05-15;5;1
"6444406";2019-01-01;2021-05-15;5;1
"6444534";2019-01-01;2021-05-15;5;1
"6444851";2019-01-01;2021-05-15;5;1
"6445155";2019-01-01;2021-05-15;5;1
"6447936";2019-01-01;2021-05-15;4;1
"6449098";2019-01-01;2021-05-15;5;1
"6449099";2019-01-01;2021-05-15;5;1
"6449801";2019-01-01;2021-05-15;5;1
"6449803";2019-01-01;2021-05-15;5;1
"6449806";2019-01-01;2021-05-15;5;1
"6451307";2019-01-01;2021-05-15;5;1
"6451392";2019-01-01;2021-05-15;5;1
"6451505";2019-01-01;2021-05-15;5;1
"6451703";2019-01-01;2021-05-15;5;1
"6452755";2019-01-01;2021-05-15;5;1
"6453067";2019-01-01;2021-05-15;5;1
"6453070";2019-01-01;2021-05-15;5;1
"6453255";2019-01-01;2021-05-15;5;1
"6453259";2019-01-01;2021-05-15;5;1
"6453279";2019-01-01;2021-05-15;5;1
"6453281";2019-01-01;2021-05-15;5;1
"6453283";2019-01-01;2021-05-15;5;1
"6453523";2019-01-01;2021-05-15;4;1
"6456676";2019-01-01;2021-05-15;5;1
"6456677";2019-01-01;2021-05-15;5;1
"6456678";2019-01-01;2021-05-15;5;1
"6456679";2019-01-01;2021-05-15;5;1
"6456681";2019-01-01;2021-05-15;5;1
"6456682";2019-01-01;2021-05-15;5;1
"6456864";2019-01-01;2021-05-15;5;1
"6457709";2019-01-01;2021-05-15;4;1
"6459510";2019-01-01;2021-05-15;5;1
"6461478";2019-01-01;2021-05-15;5;1
"6462152";2019-01-01;2021-05-15;4;1
"6462640";2019-01-01;2021-05-15;5;1
"6464310";2019-01-01;2021-05-15;5;1
"6466823";2019-01-01;2021-05-15;5;1
"6466824";2019-01-01;2021-05-15;5;1
"6466825";2019-01-01;2021-05-15;5;1
"6467039";2019-01-01;2021-05-15;5;1
"6467040";2019-01-01;2021-05-15;5;1
"6467298";2019-01-01;2021-05-15;5;1
"6470504";2019-01-01;2021-05-15;5;1
"6472805";2019-01-01;2021-05-15;5;1
"6473003";2019-01-01;2021-05-15;5;1
"6473494";2019-01-01;2021-05-15;4;1
"6474329";2019-01-01;2021-05-15;5;1
"6475894";2019-01-01;2021-05-15;5;1
"6476819";2019-01-01;2021-05-15;5;1
"6477901";2019-01-01;2021-05-15;5;1
"6478559";2019-01-01;2021-05-15;5;1
"6481231";2019-01-01;2021-05-15;5;1
"6482295";2019-01-01;2021-05-15;5;1
"6483443";2019-01-01;2021-05-15;4;1
"6484593";2019-01-01;2021-05-15;4;1
"6489824";2019-01-01;2021-05-15;4;1
"6491890";2019-01-01;2021-05-15;5;1
"6495095";2019-01-01;2021-05-15;5;1
"6496232";2019-01-01;2021-05-15;5;1
"6496354";2019-01-01;2021-05-15;4;1
"6500330";2019-01-01;2021-05-15;5;1
"6501672";2019-01-01;2021-05-15;4;1
"6502323";2019-01-01;2021-05-15;5;1
"6502668";2019-01-01;2021-05-15;5;1
"6503842";2019-01-01;2021-05-15;4;1
"6504565";2019-01-01;2021-05-15;5;1
"6505874";2019-01-01;2021-05-15;5;1
"6506989";2019-01-01;2021-05-15;4;1
"6506990";2019-01-01;2021-05-15;4;1
"6507780";2019-01-01;2021-05-15;5;1
"6507785";2019-01-01;2021-05-15;5;1
"6510170";2019-01-01;2021-05-15;5;1
"6513888";2019-01-01;2021-05-15;4;1
"6515860";2019-01-01;2021-05-15;5;1
"6515865";2019-01-01;2021-05-15;5;1
"6523676";2019-01-01;2021-05-15;5;1
"6524125";2019-01-01;2021-05-15;4;1
"6525295";2019-01-01;2021-05-15;4;1
"6525876";2019-01-01;2021-05-15;5;1
"6526963";2019-01-01;2021-05-15;5;1
"6528098";2019-01-01;2021-05-15;5;1
"6530198";2019-01-01;2021-05-15;5;1
"6533395";2019-01-01;2021-05-15;5;1
"6536623";2019-01-01;2021-05-15;5;1
"6537194";2019-01-01;2021-05-15;5;1
"6543897";2019-01-01;2021-05-15;5;1
"6544813";2019-01-01;2021-05-15;5;1
"6547404";2019-01-01;2021-05-15;5;1
"6548037";2019-01-01;2021-05-15;5;1
"6548038";2019-01-01;2021-05-15;5;1
"6551656";2019-01-01;2021-05-15;5;1
"6552773";2019-01-01;2021-05-15;5;1
"6558924";2019-01-01;2021-05-15;5;1
"6559630";2019-01-01;2021-05-15;5;1
"6560222";2019-01-01;2021-05-15;5;1
"6560231";2019-01-01;2021-05-15;5;1
"6564834";2019-01-01;2021-05-15;5;1
"6566294";2019-01-01;2021-05-15;5;1
"6566575";2019-01-01;2021-05-15;5;1
"6568029";2019-01-01;2021-05-15;5;1
"6587228";2019-01-01;2021-05-15;5;1
"6587395";2019-01-01;2021-05-15;4;1
"6595270";2019-01-01;2021-05-15;5;1
"6596867";2019-01-01;2021-05-15;5;1
"6598500";2019-01-01;2021-05-15;5;1
"6598803";2019-01-01;2021-05-15;5;1
"6598925";2019-01-01;2021-05-15;5;1
"6598940";2019-01-01;2021-05-15;5;1
"6605391";2019-01-01;2021-05-15;5;1
"6605396";2019-01-01;2021-05-15;5;1
"6606317";2019-01-01;2021-05-15;5;1
"6606724";2019-01-01;2021-05-15;4;1
"6611136";2019-01-01;2021-05-15;5;1
"6617012";2019-01-01;2021-05-15;5;1
"6617017";2019-01-01;2021-05-15;5;1
"6617582";2019-01-01;2021-05-15;4;1
"6617583";2019-01-01;2021-05-15;4;1
"6619213";2019-01-01;2021-05-15;4;1
"6619762";2019-01-01;2021-05-15;5;1
"6620509";2019-01-01;2021-05-15;5;1
"6620670";2019-01-01;2021-05-15;5;1
"6620685";2019-01-01;2021-05-15;5;1
"6621311";2019-01-01;2021-05-15;5;1
"6626209";2019-01-01;2021-05-15;5;1
"6629187";2019-01-01;2021-05-15;5;1
"6630537";2019-01-01;2021-05-15;5;1
"6632651";2019-01-01;2021-05-15;5;1
"6635588";2019-01-01;2021-05-15;5;1
"6635590";2019-01-01;2021-05-15;5;1
"6636324";2019-01-01;2021-05-15;5;1
"6636326";2019-01-01;2021-05-15;5;1
"6647357";2019-01-01;2021-05-15;5;1
