"Fecha";"Prec.5";"ET0.5";"Consumo.5";"Prec.4";"ET0.4";"Consumo.4";"Prec.3";"ET0.3";"Consumo.3";"Prec.2";"ET0.2";"Consumo.2";"Prec.1";"ET0.1";"Consumo.1";"NDVI.scl_7_8_9.Mean.5";"NDVI.scl_7_8_9.Mean"
2019-07-10;0;7.15988250286798;7.5578809112463;0;7.29775567970553;0;0;8.61134475763215;0;0.2;5.61874744793759;7.67671551676904;0;8.94099139234402;9.66024454313803;0.339787046114604;0.455880691607793
2019-07-15;0;7.4021215786806;9.80245628324515;0;7.87013411669724;3.44861111840122;0;8.82542389339201;7.39151246351446;0;7.75632501483257;0;0;9.57804882781926;0;0.455880691607793;0.374345342318217
2019-07-20;0;9.43769822932978;7.32021170020082;0;7.16023985699905;7.24891093688717;0;7.33878241523569;2.25785750493207;0;7.61987810271476;3.88809431037124;0;8.14092417423072;0.722688383911096;0.374345342318217;0.277242625753085
2019-07-25;0;8.53411180234624;0;0;9.41729003995303;2.59315790961589;0;8.74394391056794;1.8512563369346;0;9.13299488374904;7.85343468293136;0;8.35236964412008;2.08374506742082;0.277242625753085;0.380073636770248
2019-07-30;0;7.95803238426104;3.37229606819475;0;7.5734662173855;4.4444142465505;0;8.75175821101042;0;0;7.7312099797554;0;0;7.0663129666846;4.46818116765504;0.380073636770248;0.360532820224762
2019-08-04;0;7.25128109419281;4.4444142465505;0;5.93611343944408;6.0424860393313;0;6.24670077750798;3.91060141391034;0;6.37191215562536;3.3088545230962;0;6.41356447647013;0;0.360532820224762;0.300227776169777
2019-08-09;0;6.95465455857613;2.54122443350627;0;6.72657233596474;1.80812212862603;0;7.93263425216305;4.3968804043414;0;7.64435014575565;4.42064732544595;0;7.69811342288868;5.54107336515247;0.300227776169777;0.387544145186742
2019-08-14;0;8.92065562014296;3.32398820684398;0;8.27487982048104;0;0.6;6.61564094321534;0.329995887781255;0;8.28828285097291;5.49027096671231;0.2;5.46600845618703;3.68897224970028;0.387544145186742;0.346541653076808
2019-08-19;0;6.2465468073195;5.59022104805389;0;6.73050803384041;5.23039428337992;0;6.51834112892947;1.84468295491572;0;7.16793311004475;0;0;7.19719352874947;1.13193922913913;0.346541653076808;0.44134912888209
2019-08-24;0;6.68787808072651;3.33624193851593;0;5.58722824002647;5.38071721897503;17.4;5.18720241339938;3.50811127412596;0.2;5.51447094158443;5.57162970493704;0;5.77262050589209;3.31719878816396;0.44134912888209;0.344985723495483
