"Fecha";"ConsumoTotal";"Consumo"
2020-04-23;2686;2.31519565065567
2020-04-24;0;0
2020-04-25;0;0
2020-04-26;0;0
2020-04-27;0;0
2020-04-28;488;0.420631227669385
2020-04-29;0;0
2020-04-30;0;0
2020-05-01;0;0
2020-05-02;1854;1.59805388544885
2020-05-03;0;0
2020-05-04;734;0.632670739978132
2020-05-05;0;0
2020-05-06;8619;7.4291404739394
2020-05-07;684;0.589573278126761
2020-05-08;1259;1.08519408941753
2020-05-09;0;0
2020-05-10;0;0
2020-05-11;741;0.638704384637324
2020-05-12;0;0
2020-05-13;379;0.326678760833395
2020-05-14;0;0
2020-05-15;0;0
2020-05-16;0;0
2020-05-17;0;0
2020-05-18;0;0
2020-05-19;4148;3.57536543518977
2020-05-20;242;0.208591715360638
2020-05-21;0;0
2020-05-22;407;0.350813339470163
2020-05-23;0;0
2020-05-24;0;0
2020-05-25;0;0
2020-05-26;369;0.318059268463121
2020-05-27;0;0
2020-05-28;453;0.390463004373425
2020-05-29;0;0
2020-05-30;0;0
2020-05-31;0;0
2020-06-01;0;0
2020-06-02;49418.1238888893;42.5959141813551
2020-06-03;46380.8761111107;39.9779607766355
2020-06-04;0;0
2020-06-05;624;0.537856323905115
2020-06-06;0;0
2020-06-07;0;0
2020-06-08;0;0
2020-06-09;0;0
2020-06-10;0;0
2020-06-11;726;0.625775146081913
2020-06-12;499;0.430112669276687
2020-06-13;351;0.302544182196627
2020-06-14;0;0
2020-06-15;0;0
2020-06-16;0;0
2020-06-17;0;0
2020-06-18;755;0.650771673955708
2020-06-19;2835;2.44362608697276
2020-06-20;0;0
2020-06-21;0;0
2020-06-22;0;0
2020-06-23;541;0.466314537231839
2020-06-24;396;0.341331897862862
2020-06-25;576;0.496482760527799
2020-06-26;0;0
2020-06-27;0;0
2020-06-28;0;0
2020-06-29;0;0
2020-06-30;0;0
2020-07-01;943;0.812818130516865
2020-07-02;2998;2.58412381260823
2020-07-03;0;0
2020-07-04;0;0
2020-07-05;0;0
2020-07-06;0;0
2020-07-07;0;0
2020-07-08;0;0
2020-07-09;845;0.728347105288177
2020-07-10;0;0
2020-07-11;0;0
2020-07-12;0;0
2020-07-13;0;0
2020-07-14;586.613333333284;0.505630915096741
2020-07-15;1517.38666666672;1.30791027960897
2020-07-16;0;0
2020-07-17;0;0
2020-07-18;0;0
2020-07-19;0;0
2020-07-20;0;0
2020-07-21;0;0
2020-07-22;890;0.767134820954411
2020-07-23;416;0.35857088260341
2020-07-24;0;0
2020-07-25;0;0
2020-07-26;0;0
2020-07-27;0;0
2020-07-28;1962;1.69114440304781
2020-07-29;0;0
2020-07-30;0;0
2020-07-31;0;0
2020-08-01;0;0
2020-08-02;0;0
2020-08-03;3780;3.25816811596368
2020-08-04;2261;1.94886722491902
2020-08-05;0;0
2020-08-06;2177;1.87646348900871
2020-08-07;2154;1.85663865655708
2020-08-08;627;0.540442171616198
2020-08-09;0;0
2020-08-10;1776;1.53082184496071
2020-08-11;874;0.753343633161972
2020-08-12;0;0
2020-08-13;1310;1.12915350050593
2020-08-14;2174;1.87387764129763
2020-08-15;0;0
2020-08-16;0;0
2020-08-17;2442;2.10488003682098
2020-08-18;1359;1.17138901312028
2020-08-19;0;0
2020-08-20;0;0
2020-08-21;2117;1.82474653478707
2020-08-22;0;0
2020-08-23;0;0
2020-08-24;2696;2.32381514302595
2020-08-25;1448;1.24810249521572
2020-08-26;0;0
2020-08-27;0;0
2020-08-28;1266;1.09122773407672
2020-08-29;0;0
2020-08-30;0;0
2020-08-31;1330;1.14639248524648
2020-09-01;0;0
2020-09-02;0;0
2020-09-03;0;0
2020-09-04;1411;1.2162103734457
2020-09-05;0;0
2020-09-06;0;0
2020-09-07;1519;1.30930089104466
2020-09-08;682;0.587849379652706
2020-09-09;0;0
2020-09-10;0;0
2020-09-11;0;0
2020-09-12;0;0
2020-09-13;0;0
2020-09-14;2152;1.85491475808303
2020-09-15;0;0
2020-09-16;1843;1.58857244384155
2020-09-17;668;0.575782090334322
2020-09-18;0;0
2020-09-19;0;0
2020-09-20;0;0
2020-09-21;1488;1.28258046469681
2020-09-22;645;0.555957257882691
2020-09-23;0;0
2020-09-24;736;0.634394638452187
2020-09-25;1042;0.89815110498258
2020-09-26;0;0
2020-09-27;0;0
2020-09-28;1129;0.973140688603966
2020-09-29;0;0
2020-09-30;0;0
2020-10-01;2222;1.91525120467495
2020-10-02;1050;0.9050466988788
2020-10-03;0;0
2020-10-04;0;0
2020-10-05;1307;1.12656765279485
2020-10-06;1089;0.938662719122869
2020-10-07;0;0
2020-10-08;0;0
2020-10-09;1968;1.69631609846998
2020-10-10;0;0
2020-10-11;0;0
2020-10-12;0;0
2020-10-13;0;0
2020-10-14;659;0.568024547201075
2020-10-15;772;0.665424810985175
2020-10-16;584;0.503378354424018
2020-10-17;261;0.224968750864159
2020-10-18;0;0
2020-10-19;1017;0.876602374056895
2020-10-20;1454;1.25327419063788
2020-10-21;0;0
2020-10-22;0;0
2020-10-23;0;0
2020-10-24;0;0
2020-10-25;0;0
2020-10-26;0;0
2020-10-27;0;0
2020-10-28;2044.06474215258;1.76188004493308
2020-10-29;18033.211942073;15.5437132746237
2020-10-30;22915.0485666106;19.7516086284365
2020-10-31;23975.4232521579;20.6655977796072
2020-11-01;24618.9275924023;21.2202658547047
2020-11-02;24785.3624407835;21.3637242452816
2020-11-03;24954.6252688607;21.5096202107999
2020-11-04;25220.8540521022;21.7390959073896
2020-11-05;25470.0074820984;21.9538535162776
