"Fecha";"Prec.5";"ET0.5";"Consumo.5";"Prec.4";"ET0.4";"Consumo.4";"Prec.3";"ET0.3";"Consumo.3";"Prec.2";"ET0.2";"Consumo.2";"Prec.1";"ET0.1";"Consumo.1";"NDVI.scl_7_8_9.Mean.5";"NDVI.scl_7_8_9.Mean"
2017-12-17;0;1.68808126300606;1.76243893249406;0;1.56790888880076;1.76243893249487;0;1.24642535903061;1.76243893249487;0;1.80223486889414;1.76243893249406;0;2.16179937683935;1.76243893249487;NA;NA
2017-12-22;0;1.62817769184997;1.76243893249406;0;1.17578619381302;3.52939245078965;0;1.91257225804314;0;0;0.948432034870221;4.32156717188537;0;1.14343398046197;0;NA;NA
2017-12-27;0;1.23945163006403;4.30415553944425;0;0.950974539638555;0;0;0.668792409971776;0.0174116324411175;0;1.03594131266849;4.3111201924207;0;1.30416057599902;0;NA;NA
2018-01-01;0;3.69052066934984;4.33201415135004;0;1.36772886531148;0;0;2.06205650058378;4.32156717188537;0;1.62332786414806;0;0;1.41083417228775;0.0174116324411175;NA;NA
2018-01-06;0;2.11851459656763;4.3111201924207;0;2.63967781768291;0;0;2.3247744049571;4.34246113081471;0;2.29285266458879;0;0;1.77562564619142;4.33897880432649;NA;NA
2018-01-11;1.4;1.27606241144962;0;0;1.42626838484605;0.020893958929341;0;0.984421496204202;4.33549647783826;0;0.834526576253903;0;3.1;1.4274694318638;4.33549647783826;NA;NA
2018-01-16;0;3.09985339971795;0;0;1.85743517080962;4.32853182486182;0;1.23648038475093;0;1;1.39761053635877;0.0174116324411175;7.6;1.1746495736824;4.32504949837359;NA;NA
2018-01-21;0;1.56149639991601;0;0;2.29070208532105;4.32156717188537;0.1;1.26408026068978;0;0;1.15368046781029;4.31808484539715;0;2.05595198568139;0;NA;NA
2018-01-26;0;3.52082831137894;0.020893958929341;0;2.63971940649597;4.33897880432649;0;2.09697040182218;0;0;1.49632100213567;4.33201415135004;0;1.34670706817725;0;NA;NA
2018-01-31;0.5;2.96782929284669;4.33549647783826;1.9;2.20922646149824;0;27.5;1.46221818724229;0.0174116324411175;0;1.54145990895953;4.33897880432649;0;1.08181329974671;0;NA;NA
2018-02-05;0;1.39398043652012;4.33201415135004;3.6;1.59082583393028;0;7.1;1.71310782097772;4.18227411235643;0;2.80195720496943;0;0.4;1.30442267459971;0.0174116324411175;NA;NA
2018-02-10;0.1;1.48190851348176;4.25540296860912;0;2.43221146462761;0;0;2.05239356283838;4.29370855997958;0;2.05596312710887;0;0;2.59730913090354;4.21013272426222;NA;NA
2018-02-15;0;3.12245626740358;0;0;2.58066138020726;0.0174116324411175;0.3;1.58425500077105;4.22057970372689;0;2.32794838999448;0;0;2.82993887187139;4.21361505075044;NA;NA
2018-02-20;0;3.06278804954466;0;0;2.09999738542293;4.21709737723866;0;3.0608167020321;0;0;1.10208211583012;0.0174116324411175;0;2.55940423416448;4.24495598914445;NA;0.205373582740625
2018-03-07;0.4;1.96095160022316;2.09917031079689;4.1;3.08458575382291;2.09917031079608;1.2;1.95112457244866;0.468498855359686;0.3;2.58102208468669;4.23450900967978;0.1;3.13648948368747;0;NA;0.0932591141511996
2018-03-12;0;3.91557008695218;4.22754435670333;0.6;2.31026302745502;0;0;4.09421331488562;4.2519206421209;0;4.45579540348427;0;0;5.46365482363461;0.0174116324411175;0.0932591141511996;0.148118788997332
2018-03-17;0;4.3365492226112;4.24147366265623;0;3.31582787078997;0;0;3.52246909220983;4.24147366265623;0;3.26010605931757;0;0.1;3.28393810737509;4.23450900967978;0.148118788997332;NA
2018-03-22;0;3.69423515654664;0;1.2;3.45335300434089;0.0174116324411175;0.7;4.07651871409929;4.23450900967978;0;4.57723153625796;0;0;4.72110325709289;4.23102668319156;NA;0.261301512519519
2018-03-27;0;4.71422854820966;0;0;5.08893367693284;4.2519206421209;0.7;6.13044708094857;0;0.2;4.24907312886388;0.020893958929341;0;5.32966408681308;4.24843831563268;0.261301512519519;NA
2018-04-01;0;5.39827860556407;0;0;5.20987255065199;4.83695149214245;0;4.16372610737807;0;0;4.94272269169569;4.85436312458357;0;5.68082424621491;0;NA;NA
2018-04-06;0;4.63140302790503;0.0174116324411175;0;3.5405747683032;4.85784545107179;0;4.81198409639812;0;0;5.90024380529693;4.86829243053646;0;5.1062187895588;0;NA;NA
2018-04-11;0;3.40896430433977;4.87177475702468;0;2.87601746150329;0;0;4.71884989913212;0.020893958929341;0;4.97409298072653;4.87177475702468;1.1;4.36961486724471;0.543242932162867;NA;0.286222890019417
2018-04-16;0;4.82724066551188;4.03601639985104;0;5.28471905459233;0;0;4.35978318377552;4.03253407336282;0;5.15154009602106;0;0;5.52736163890736;0.0174116324411175;0.286222890019417;NA
2018-04-21;0.9;6.1735846621195;4.06039268526861;0;5.42163400601653;0;0;5.53265446546096;4.02556942038637;0;5.60749017004505;0;0;4.81060802198487;4.03253407336282;NA;NA
2018-04-26;0;5.11382605039873;0;0;6.11525264602578;0.0174116324411175;0;6.87683714541605;4.03601639985104;0;8.10690206195289;0;7.8;2.38258499347754;4.03253407336282;NA;NA
2018-05-01;2.3;3.54632521137658;0;0;4.84935346487236;4.02208709389815;0;5.93863054440471;0;0;6.66785461999234;0.0174116324411175;2.1;4.12512247436522;4.01860476740992;NA;NA
2018-05-06;0.1;4.92497046386707;0;0;6.00858511611471;4.03949872633927;0;6.14670629266587;0;0;5.98491326370726;4.04646337931571;0;5.22973904070966;0;NA;0.304674237966538
