Fecha;ConsumoTotal;Consumo
2017-09-30;0;0
2017-10-01;0;0
2017-10-02;5348;3.79455836264407
2017-10-03;1239;0.879105798675394
2017-10-04;5257;3.72999127008599
2017-10-05;0;0
2017-10-06;5257;3.72999127008599
2017-10-07;0;0
2017-10-08;0;0
2017-10-09;5344;3.79172024868547
2017-10-10;0;0
2017-10-11;5960;4.2287897983094
2017-10-12;0;0
2017-10-13;6030;4.27845679258485
2017-10-14;0;0
2017-10-15;0;0
2017-10-16;6097;4.32599520139134
2017-10-17;0;0
2017-10-18;6123;4.34444294212222
2017-10-19;0;0
2017-10-20;6062;4.30116170425362
2017-10-21;0;0
2017-10-22;0;0
2017-10-23;6138;4.35508586946696
2017-10-24;0;0
2017-10-25;6185;4.38843370848048
2017-10-26;0;0
2017-10-27;9810;6.96047448345893
2017-10-28;0;0
2017-10-29;0;0
2017-10-30;6297;4.46790089932119
2017-10-31;39;0.0276716110963199
2017-11-01;3909;2.77354686603883
2017-11-02;0;0
2017-11-03;4524;3.20990688717311
2017-11-04;0;0
2017-11-05;0;0
2017-11-06;5266;3.73637702649283
2017-11-07;0;0
2017-11-08;5260;3.73211985555494
2017-11-09;0;0
2017-11-10;5318;3.77327250795459
2017-11-11;0;0
2017-11-12;0;0
2017-11-13;5421;3.84635394238846
2017-11-14;0;0
2017-11-15;5388;3.82293950223004
2017-11-16;0;0
2017-11-17;5363;3.80520128998881
2017-11-18;0;0
2017-11-19;0;0
2017-11-20;5425;3.84919205634706
2017-11-21;0;0
2017-11-22;5314;3.770434393996
2017-11-23;0;0
2017-11-24;5148;3.65265266471423
2017-11-25;0;0
2017-11-26;0;0
2017-11-27;5480;3.88821612327777
2017-11-28;0;0
2017-11-29;5031;3.56963783142527
2017-11-30;0;0
2017-12-01;5157;3.65903842112107
2017-12-02;0;0
2017-12-03;0;0
2017-12-04;5165;3.66471464903826
2017-12-05;0;0
2017-12-06;5097;3.61646671174212
2017-12-07;0;0
2017-12-08;5059;3.58950462913544
2017-12-09;0;0
2017-12-10;1962.23195593618;1.39225947603685
2017-12-11;2547.4342017211;1.80747714162796
2017-12-12;2547.43420171924;1.80747714162664
2017-12-13;2547.4342017211;1.80747714162796
2017-12-14;2547.4342017211;1.80747714162796
2017-12-15;2547.43420171924;1.80747714162664
2017-12-16;2547.4342017211;1.80747714162796
2017-12-17;2547.4342017211;1.80747714162796
2017-12-18;691.728632019833;0.490801171524159
2017-12-19;0;0
2017-12-20;5118;3.63136681002475
2017-12-21;62131.8461111113;44.0843149303351
2017-12-22;51147.1538888887;36.2903628486398
2017-12-23;0;0
2017-12-24;0;0
2017-12-25;0;0
2017-12-26;0;0
2017-12-27;0;0
2017-12-28;0;0
2017-12-29;0;0
2017-12-30;0;0
2017-12-31;0;0
2018-01-01;0;0
2018-01-02;0;0
2018-01-03;2;0.00141905697929846
2018-01-04;0;0
2018-01-05;5131;3.64059068039019
2018-01-06;0;0
2018-01-07;0;0
2018-01-08;5115;3.6292382245558
2018-01-09;0;0
2018-01-10;5174;3.67110040544511
2018-01-11;0;0
2018-01-12;5069;3.59659991403194
2018-01-13;0;0
2018-01-14;0;0
2018-01-15;5130;3.63988115190054
2018-01-16;0;0
2018-01-17;5115;3.6292382245558
2018-01-18;0;0
2018-01-19;5148;3.65265266471423
2018-01-20;0;0
2018-01-21;0;0
2018-01-22;5158;3.65974794961072
2018-01-23;0;0
2018-01-24;5113;3.6278191675765
2018-01-25;0;0
2018-01-26;5164;3.66400512054861
2018-01-27;0;0
2018-01-28;0;0
2018-01-29;5112;3.62710963908685
2018-01-30;0;0
2018-01-31;5217;3.70161013050002
2018-02-01;0;0
2018-02-02;5133;3.64200973736949
2018-02-03;0;0
2018-02-04;0;0
2018-02-05;5120;3.63278586700405
2018-02-06;0;0
2018-02-07;5116;3.62994775304545
2018-02-08;0;0
2018-02-09;5107;3.62356199663861
