"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
1;0;0.0730895565101139;0.300995075047168;0.0103567818084722;0.101768275058941;0.393365103150656;0.258712006336679;0.869999999999997;0.0800000000000001;10.89
1;1;0.108850735417729;0.438238376127947;0.0192155016688302;0.138619990148716;0.393365103150656;0.352395240549911;0.699999999999999;0.04;6.37000000000001
1;2;0.0875462337466735;0.352885272486249;0.0136908877945586;0.117008067219994;0.393365103150656;0.297454111416642;0.800000000000001;0.0699999999999998;8.59000000000003
1;3;0.0794139420254571;0.325074512577447;0.0120243401060792;0.109655552098739;0.393365103150656;0.278762786074445;0.789999999999999;0.03;10.14
1;4;0.0792329128917403;0.32435669614939;0.0119868348719241;0.109484404697309;0.393365103150656;0.278327700704495;0.84;0.03;11.74
35;0;0.0626722719525777;0.275601416014282;0.0085485454637468;0.0835127418186212;0.42739063247886;0.196405330765834;108.309999999998;2.72999999999998;171.849999999998
35;1;0.0630531758181289;0.283614166131046;0.00870939632586751;0.0838856759617538;0.42739063247886;0.19667116102413;110.46;2.47000000000003;167.749999999998
35;2;0.0627565283106597;0.278520912443861;0.00856317546150786;0.0833699322236092;0.42739063247886;0.195149515608239;108.779999999998;2.13999999999998;168.669999999998
35;3;0.0636654015156974;0.277445136476883;0.00873161064825184;0.0837859242014408;0.42739063247886;0.19654880934453;109.150000000001;2.4;170.38
35;4;0.0633781693051986;0.274882835137053;0.00854581954117959;0.0829575803007478;0.42739063247886;0.195248761665953;109.859999999997;2.66999999999999;171.999999999997
