"n";"PCA";"MAE";"MAPE";"MSE";"RMSE";"CV";"CVRMSE";"user";"system";"elapsed"
"2";0;0.0699885189625528;0.291340176711008;0.00978188873723465;0.0988298136048739;0.392699665443854;0.251574024416759;2.03999999999996;0.130000000000003;35.0800000000017
"3";0;0.0702659358946366;0.290989338293453;0.00997701610485194;0.0994268976416761;0.392438609424338;0.256439717803142;2.71000000000004;0.190000000000012;38.9700000000012
"4";0;0.0708125062438167;0.292689599331509;0.0101494221721287;0.100215556999954;0.393005836242454;0.258920300393796;3.31999999999971;0.170000000000009;38.8899999999994
"5";0;0.0714536363834941;0.293006497479308;0.0101507479203219;0.100147640317499;0.393368988383378;0.258526906818467;4.36999999999944;0.170000000000009;41.1500000000087
"6";0;0.0711268508027138;0.293294913725871;0.0100172921627961;0.0992438376296166;0.393477439143052;0.258051324889642;5.0899999999997;0.200000000000003;42.9600000000064
"7";0;0.0711302988714476;0.294750867881443;0.0100172666117572;0.0992437570650009;0.393247445729131;0.258596437366447;5.89999999999964;0.210000000000001;45.1900000000024
"8";0;0.0706565903142797;0.289642791112809;0.00993158673172423;0.098828007781633;0.392586114770079;0.261110309152816;6.6599999999994;0.170000000000002;46.2200000000012
"9";0;0.0704617693659268;0.287608834773521;0.00992216060524026;0.0986565081794002;0.392672070486046;0.260219724938375;7.19999999999982;0.189999999999998;46.5500000000029
"10";0;0.0708697452378188;0.288478936435875;0.0100571564274263;0.099193038877053;0.392693182894847;0.261561956231221;7.84999999999946;0.169999999999994;47.9499999999971
"11";0;0.0712626006306724;0.289225229797623;0.0101330233733759;0.0995320650829027;0.393612085807721;0.261827772781959;8.61999999999944;0.199999999999996;51.8199999999925
"12";0;0.0723233757876277;0.292539793292236;0.0104715495760319;0.101062187442126;0.393268684769131;0.26896738019524;9.14999999999964;0.229999999999982;54.6699999999837
"13";0;0.0739898849362423;0.295970308517696;0.0106942429280636;0.102121574948771;0.39333928010282;0.271244312152401;9.78999999999997;0.269999999999982;56.7499999999855
"14";0;0.0737690840696566;0.294353033534164;0.0106458884657328;0.101830058187282;0.393186062515298;0.271183872950552;10.7499999999996;0.34999999999998;59.0800000000018
