"fecha";"tmed";"hrmed";"NDVI_mean_6431524";"Anomaly_6431524";"Anomalia2_6431524";"NDVI_mean_6496232";"Anomaly_6496232";"Anomalia2_6496232";"NDVI_mean_6632651";"Anomaly_6632651";"Anomalia2_6632651";"NDVI_mean_6444534";"Anomaly_6444534";"Anomalia2_6444534";"NDVI_mean_6561597";"Anomaly_6561597";"Anomalia2_6561597";"NDVI_mean_6355405";"Anomaly_6355405";"Anomalia2_6355405";"NDVI_mean_6496230";"Anomaly_6496230";"Anomalia2_6496230";"NDVI_mean_6523676";"Anomaly_6523676";"Anomalia2_6523676";"NDVI_mean_6555491";"Anomaly_6555491";"Anomalia2_6555491";"NDVI_mean_6626209";"Anomaly_6626209";"Anomalia2_6626209";"NDVI_mean_6355390";"Anomaly_6355390";"Anomalia2_6355390";"NDVI_mean_6442236";"Anomaly_6442236";"Anomalia2_6442236";"NDVI_mean_6443504";"Anomaly_6443504";"Anomalia2_6443504";"NDVI_mean_6465914";"Anomaly_6465914";"Anomalia2_6465914";"NDVI_mean_6558924";"Anomaly_6558924";"Anomalia2_6558924";"NDVI_mean_6583827";"Anomaly_6583827";"Anomalia2_6583827";"NDVI_mean_6598500";"Anomaly_6598500";"Anomalia2_6598500";"NDVI_mean_6636324";"Anomaly_6636324";"Anomalia2_6636324";"NDVI_mean_6451307";"Anomaly_6451307";"Anomalia2_6451307";"NDVI_mean_6620670";"Anomaly_6620670";"Anomalia2_6620670";"NDVI_mean_6398496";"Anomaly_6398496";"Anomalia2_6398496";"NDVI_mean_6482295";"Anomaly_6482295";"Anomalia2_6482295";"NDVI_mean_6495095";"Anomaly_6495095";"Anomalia2_6495095";"NDVI_mean_6354706";"Anomaly_6354706";"Anomalia2_6354706";"NDVI_mean_6444397";"Anomaly_6444397";"Anomalia2_6444397";"NDVI_mean_6533395";"Anomaly_6533395";"Anomalia2_6533395";"NDVI_mean_6544813";"Anomaly_6544813";"Anomalia2_6544813";"NDVI_mean_6621311";"Anomaly_6621311";"Anomalia2_6621311";"NDVI_mean_6635590";"Anomaly_6635590";"Anomalia2_6635590";"NDVI_mean_6400489";"Anomaly_6400489";"Anomalia2_6400489";"NDVI_mean_6432724";"Anomaly_6432724";"Anomalia2_6432724";"NDVI_mean_6447936";"Anomaly_6447936";"Anomalia2_6447936";"NDVI_mean_6587395";"Anomaly_6587395";"Anomalia2_6587395";"NDVI_mean_6397830";"Anomaly_6397830";"Anomalia2_6397830";"temp1";"temp2";"temp3";"temp4";"temp5";"temp6";"temp7";"temp8";"temp9";"temp10";"hum1";"hum2";"hum3";"hum4";"hum5";"hum6";"hum7";"hum8";"hum9";"hum10";"mean_temp_last10";"mean_hum_last10";"anomaliesAgg";"anomaliesAgg2";"anomaliesAgg3";"n_mediciones"
2018-01-16;10.5875;70.1708333333333;0.600334465503693;1;1;NA;NA;NA;NA;NA;NA;0.735775738954544;1;1;NA;NA;NA;0.763913989067078;1;1;NA;NA;NA;0.206256996840239;0;0;NA;NA;NA;0.365503301035683;0;0;0.457666595776876;0;0;0.277273833751678;0;0;NA;NA;NA;NA;NA;NA;0.49411171078682;1;1;NA;NA;NA;0.123057913035154;0;0;0.435917623341084;0;0;0.310251100920141;0;0;0.123932679494222;1;1;0.4917063737909;1;1;NA;NA;NA;NA;NA;NA;0.469616532325745;0;1;NA;NA;NA;0.27334451302886;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.337104757626851;1;1;0.269475728273392;0;0;0.336563460326703;0;1;NA;NA;NA;8.16666666666667;8.56666666666667;7.13333333333333;10.4458333333333;12.1166666666667;10.1333333333333;6.20833333333333;5.29583333333333;7.275;8.60833333333333;92.4625;75.6875;82.575;55.7125;49.5333333333333;80.1583333333333;80.9208333333333;81.3;79.3166666666667;87.5291666666667;1.88333333333333;10.962962962963;0.205882352941176;0.388888888888889;0.264705882352941;18
2018-01-21;17.2333333333333;47.0708333333333;0.539120256900787;1;1;NA;NA;NA;NA;NA;NA;0.763429015874863;1;1;NA;NA;NA;0.726755887269974;1;1;NA;NA;NA;0.19285674020648;0;0;NA;NA;NA;0.329648486592553;0;0;0.406740019718806;0;0;0.228247672319412;0;1;NA;NA;NA;NA;NA;NA;0.200307408347726;0;1;NA;NA;NA;0.103312492370605;1;1;0.349953420460224;0;1;0.259624557569623;0;1;0.162287925680478;0;1;0.436377224822839;1;1;NA;NA;NA;NA;NA;NA;0.519207656383514;1;1;NA;NA;NA;0.245196506381035;0;0;0.538272619247437;0;1;NA;NA;NA;0.606698870658875;1;1;NA;NA;NA;0.288512816031774;0;0;0.222634618481;0;0;0.304419245935024;0;0;NA;NA;NA;10.5875;8.16666666666667;8.56666666666667;7.13333333333333;10.4458333333333;12.1166666666667;10.1333333333333;6.20833333333333;5.29583333333333;7.275;70.1708333333333;92.4625;75.6875;82.575;55.7125;49.5333333333333;80.1583333333333;80.9208333333333;81.3;79.3166666666667;2.00416666666667;12.5273148148148;0.205882352941176;0.35;0.382352941176471;20
2018-01-26;11.7041666666667;54.1625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.25218113594585;1;1;NA;NA;NA;0.228448912501335;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.279780076100276;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.242600277066231;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.2333333333333;10.5875;8.16666666666667;8.56666666666667;7.13333333333333;10.4458333333333;12.1166666666667;10.1333333333333;6.20833333333333;5.29583333333333;47.0708333333333;70.1708333333333;92.4625;75.6875;82.575;55.7125;49.5333333333333;80.1583333333333;80.9208333333333;81.3;2.52268518518519;14.8736111111111;0.0882352941176471;0.75;0.117647058823529;4
2018-01-31;11.0833333333333;88.4375;0.526129961013794;0;1;NA;NA;NA;NA;NA;NA;0.555838048458099;0;1;NA;NA;NA;0.586379945278168;0;0;NA;NA;NA;0.151756636798382;1;1;NA;NA;NA;0.329719247562545;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.419139349460602;1;1;NA;NA;NA;0.155995316803455;0;0;0.340859656532605;0;1;0.187014480431875;1;1;0.137516692280769;1;1;0.251389339566231;1;1;NA;NA;NA;NA;NA;NA;0.530516445636749;1;1;NA;NA;NA;0.217131180067857;0;0;0.408731311559677;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.296298682689667;0;0;0.216943576931953;0;0;0.272535167329135;0;0;NA;NA;NA;11.7041666666667;17.2333333333333;10.5875;8.16666666666667;8.56666666666667;7.13333333333333;10.4458333333333;12.1166666666667;10.1333333333333;6.20833333333333;54.1625;47.0708333333333;70.1708333333333;92.4625;75.6875;82.575;55.7125;49.5333333333333;80.1583333333333;80.9208333333333;3.03564814814815;15.6194444444444;0.176470588235294;0.352941176470588;0.264705882352941;17
2018-02-05;8.15833333333333;82.1083333333333;0.711610496044159;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.98474283516407;1;1;NA;NA;NA;0.184433329850435;0;0;NA;NA;NA;0.469863842630928;1;1;0.453562299410502;0;0;0.239734068512917;0;0;NA;NA;NA;NA;NA;NA;0.196525154317298;0;0;NA;NA;NA;0.193431921303272;0;0;0.439189871152242;0;0;0.356111234053969;0;0;0.210126772522926;0;0;0.365879282355309;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.094246182590723;1;1;0.421503335237503;0;0;NA;NA;NA;0.41122869849205;0;0;NA;NA;NA;0.252570023139318;0;0;0.171138857801755;0;1;0.221418669099336;0;1;NA;NA;NA;11.0833333333333;11.7041666666667;17.2333333333333;10.5875;8.16666666666667;8.56666666666667;7.13333333333333;10.4458333333333;12.1166666666667;10.1333333333333;88.4375;54.1625;47.0708333333333;70.1708333333333;92.4625;75.6875;82.575;55.7125;49.5333333333333;80.1583333333333;2.66851851851852;19.3430555555556;0.117647058823529;0.222222222222222;0.176470588235294;18
2018-02-10;10.1958333333333;47.7208333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.232663378119469;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.310429453849793;0;1;NA;NA;NA;0.22742140541474;0;0;0.251367092132568;1;1;NA;NA;NA;0.278892859816551;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.139157002998723;1;1;NA;NA;NA;8.15833333333333;11.0833333333333;11.7041666666667;17.2333333333333;10.5875;8.16666666666667;8.56666666666667;7.13333333333333;10.4458333333333;12.1166666666667;82.1083333333333;88.4375;54.1625;47.0708333333333;70.1708333333333;92.4625;75.6875;82.575;55.7125;49.5333333333333;2.77314814814815;16.6435185185185;0.0882352941176471;0.5;0.117647058823529;6
2018-02-15;15.2958333333333;58.0416666666667;0.368287533521652;0;0;NA;NA;NA;NA;NA;NA;0.667815268039703;1;1;NA;NA;NA;0.651814416050911;0;0;NA;NA;NA;0.187512420117855;0;0;NA;NA;NA;0.315262758596377;0;0;0.335777580738068;0;0;0.236237645149231;0;0;NA;NA;NA;NA;NA;NA;0.1889550452647;0;0;NA;NA;NA;0.170734092593193;0;0;0.302844954485243;1;1;0.245450587736236;1;1;0.141230499371886;1;1;0.3147679625286;0;0;NA;NA;NA;NA;NA;NA;0.340877458453178;0;0;NA;NA;NA;0.168582774698734;1;1;0.360496491193771;0;0;NA;NA;NA;0.39056592186292;0;0;NA;NA;NA;0.307647034525871;0;1;0.213790001968543;0;0;0.246406864137092;0;0;NA;NA;NA;10.1958333333333;8.15833333333333;11.0833333333333;11.7041666666667;17.2333333333333;10.5875;8.16666666666667;8.56666666666667;7.13333333333333;10.4458333333333;47.7208333333333;82.1083333333333;88.4375;54.1625;47.0708333333333;70.1708333333333;92.4625;75.6875;82.575;55.7125;2.81388888888889;19.7777777777778;0.147058823529412;0.25;0.176470588235294;20
2018-02-20;13.9916666666667;63.925;0.586685180664063;1;1;NA;NA;NA;NA;NA;NA;0.663234680891037;1;1;NA;NA;NA;0.615690335631371;0;0;NA;NA;NA;0.177755534648895;0;1;NA;NA;NA;0.297053591297431;0;0;0.33932767311732;0;0;0.19859341531992;1;1;NA;NA;NA;NA;NA;NA;0.160762288884537;0;0;NA;NA;NA;0.092279314994812;1;1;0.34456115003143;0;1;0.247504390776157;1;1;0.115984319709241;1;1;0.334257616351048;0;0;NA;NA;NA;NA;NA;NA;0.375809003909429;0;0;NA;NA;NA;0.2418350999554;0;0;0.400455057621002;0;0;NA;NA;NA;0.346602845191956;0;0;NA;NA;NA;0.179549728830655;0;0;0.194441283742587;0;1;0.213220271673696;0;1;NA;NA;NA;15.2958333333333;10.1958333333333;8.15833333333333;11.0833333333333;11.7041666666667;17.2333333333333;10.5875;8.16666666666667;8.56666666666667;7.13333333333333;58.0416666666667;47.7208333333333;82.1083333333333;88.4375;54.1625;47.0708333333333;70.1708333333333;92.4625;75.6875;82.575;3.0125;17.9398148148148;0.176470588235294;0.3;0.294117647058824;20
2018-03-07;13.4958333333333;53.6125;0.411290317773819;0;0;NA;NA;NA;NA;NA;NA;0.528196766972542;0;1;NA;NA;NA;0.596341848373413;0;0;NA;NA;NA;0.189716272056103;0;0;NA;NA;NA;0.318728264759887;0;0;0.300572151939074;0;0;0.246603183448315;0;0;NA;NA;NA;NA;NA;NA;0.153954602652104;0;0;NA;NA;NA;0.221537910401821;0;0;0.32548043344702;0;1;0.262073715527852;0;1;0.161049842834473;0;1;0.311918649822474;0;0;NA;NA;NA;NA;NA;NA;0.323360055685043;0;1;NA;NA;NA;0.18412796407938;0;1;0.325813889503479;0;0;NA;NA;NA;0.310610383749008;1;1;NA;NA;NA;0.219358051816622;0;0;0.189633394281069;0;1;0.233036739995767;0;0;NA;NA;NA;13.9916666666667;15.2958333333333;10.1958333333333;8.15833333333333;11.0833333333333;11.7041666666667;17.2333333333333;10.5875;8.16666666666667;8.56666666666667;63.925;58.0416666666667;47.7208333333333;82.1083333333333;88.4375;54.1625;47.0708333333333;70.1708333333333;92.4625;75.6875;2.99814814814815;17.8282407407407;0.0294117647058824;0.05;0.235294117647059;20
2018-03-12;15.0875;45.4125;0.46735143661499;0;0;NA;NA;NA;NA;NA;NA;0.589536473155022;0;1;NA;NA;NA;0.604572087526321;0;0;NA;NA;NA;0.175266936421394;0;1;NA;NA;NA;0.295879757675258;0;0;0.280329172809919;0;1;0.187082655727863;1;1;NA;NA;NA;NA;NA;NA;0.146280082805855;0;0;NA;NA;NA;0.168554551899433;0;0;0.328565895025219;0;1;0.246396316422357;1;1;0.125240057706833;1;1;0.307079757874211;0;0;NA;NA;NA;NA;NA;NA;0.306788469354312;0;1;NA;NA;NA;0.227549665917953;0;0;0.251692563295364;1;1;NA;NA;NA;0.251356416940689;1;1;NA;NA;NA;0.180429394046466;0;0;0.209617599844933;0;0;0.241724617882022;0;0;NA;NA;NA;13.4958333333333;13.9916666666667;15.2958333333333;10.1958333333333;8.15833333333333;11.0833333333333;11.7041666666667;17.2333333333333;10.5875;8.16666666666667;53.6125;63.925;58.0416666666667;47.7208333333333;82.1083333333333;88.4375;54.1625;47.0708333333333;70.1708333333333;92.4625;3.0087962962963;17.1101851851852;0.147058823529412;0.25;0.294117647058824;20
