"Fecha";"Prec";"ET0";"Consumo";"NDVI.scl_7_8_9.Mean";"NDVI.scl_7_8_9.Mean.obj"
2019-07-10;0.1;35.4505978038493;36.0714263957516;0.349308162927628;0.301883742213249
2019-07-15;0;38.0372518983246;43.9940287489294;0.301883742213249;0.408475175499916
2019-07-20;0;38.7506045625238;45.6615839077517;0.408475175499916;0.175356261432171
2019-07-25;0;40.5971241764718;59.8235903171371;0.175356261432171;0.441291987895966
2019-07-30;0;38.0903090883706;51.4394363390412;0.441291987895966;0.159543730318546
2019-08-04;0;32.8061262312133;55.6886721859128;0.159543730318546;0.292092114686966
2019-08-09;0;35.6941278670938;72.7052073118214;0.292092114686966;0.190610945224762
2019-08-14;0.4;34.6826697086035;42.7975103066052;0.190610945224762;0.273049607872963
2019-08-19;0;34.073114114429;65.6630948212576;0.273049607872963;0.160492300987244
2019-08-24;13.2;29.5839645988927;66.8094488251843;0.160492300987244;0.512177020311356
2019-08-29;23.7;25.7789392842253;65.6722458136192;0.512177020311356;0.0935858078300953
2019-09-03;0.1;26.6115233753906;66.8983893127533;0.0935858078300953;0.266882106661797
2019-09-08;0;24.065494578917;66.9474350527187;0.266882106661797;NA
2019-09-13;116.3;20.103150118742;67.5850296722684;NA;NA
2019-09-18;80.5;15.1038049151719;0;NA;0.263287857174873
2019-10-03;0;21.1844879125266;20.750078288165;0.26014906167984;0.329282343387604
2019-10-08;0;20.404667176769;17.770564573958;0.329282343387604;0.13996297121048
2019-10-13;0;14.2379745258022;19.66734172611;0.13996297121048;0.458565294742584
2019-10-18;0.1;14.8621714953544;22.2694427706867;0.458565294742584;NA
2019-10-23;19.9;10.2459467000921;16.5747832818798;NA;0.196873404085636
2019-10-28;0.2;10.6924582604038;19.3240215463525;0.196873404085636;NA
2019-11-02;0.2;11.1228556115846;20.856150727674;NA;0.0126632712781429
2019-11-07;0;15.1428270555667;21.7216503233693;0.0126632712781429;0.0556685030460358
2019-11-12;0.6;13.1878358153663;18.1898707660398;0.0556685030460358;0.163535915315151
2019-11-17;0.6;11.2328324477256;17.9507408273224;0.163535915315151;0.172944843769073
2019-11-22;5;6.94542102997364;17.8526493473916;0.172944843769073;NA
