Fecha;NDVI.NA.Min;NDVI.NA.Q1;NDVI.NA.Median;NDVI.NA.Mean;NDVI.NA.Q3;NDVI.NA.Max;NDVI.NA.n
2018-12-17;0.586490035057068;0.658048570156097;0.73733252286911;0.705027811229229;0.750185027718544;0.778519034385681;8
2019-07-05;0.312265664339066;0.340621314942837;0.437115669250488;0.400834251195192;0.448490500450134;0.451403886079788;8
2019-07-10;0.379892557859421;0.436696566641331;0.466263681650162;0.460445269942284;0.490105196833611;0.524681925773621;8
2019-07-15;0.372549027204514;0.443560518324375;0.540903866291046;0.507111065089703;0.562499091029167;0.603254079818726;8
2019-07-20;0.335678398609161;0.377002477645874;0.3818269520998;0.382148753851652;0.400050662457943;0.403894156217575;8
2019-07-25;0.363836824893951;0.398770734667778;0.540789484977722;0.495839990675449;0.564524561166763;0.594586670398712;8
2019-07-30;0.397422134876251;0.496083281934261;0.526349186897278;0.50555969402194;0.538017436861992;0.560433149337769;8
2019-08-04;0.350703477859497;0.411080487072468;0.440038993954659;0.434496685862541;0.463354736566544;0.511634409427643;8
2019-08-09;0.382005155086517;0.461232602596283;0.474485501646996;0.481136810034514;0.51905719935894;0.559196889400482;8
2019-08-14;0.46178412437439;0.501649752259255;0.571155697107315;0.566316321492195;0.617957517504692;0.67475289106369;8
2019-08-19;0.42417973279953;0.50571919977665;0.533014357089996;0.533416874706745;0.57621431350708;0.598987638950348;8
2019-08-24;0.441921174526215;0.479310184717178;0.623596787452698;0.587902739644051;0.672138378024101;0.7296222448349;8
2019-08-29;0.518910765647888;0.657340541481972;0.67738151550293;0.667481757700443;0.705960884690285;0.743388831615448;8
2019-09-03;0.480505794286728;0.554887890815735;0.622231721878052;0.60367276892066;0.653828769922257;0.708006262779236;8
2019-09-08;0.0634985640645027;0.0652051381766796;0.0670824609696865;0.0669610006734729;0.0690762251615524;0.0700953975319862;8
2019-09-13;0.427522927522659;0.501873604953289;0.549246549606323;0.534782916307449;0.573444068431854;0.608788847923279;8
2019-09-18;0.46217668056488;0.503755807876587;0.587881356477737;0.560140706598759;0.600612848997116;0.636531352996826;8
2019-09-28;0.480582535266876;0.524254441261292;0.550296485424042;0.560695074498653;0.585546240210533;0.671423852443695;8
2019-10-03;0.468499422073364;0.561414197087288;0.630423426628113;0.599917776882649;0.638429209589958;0.675812304019928;8
2019-10-08;0.0968878418207169;0.136506851762533;0.164423562586308;0.155948890373111;0.181196331977844;0.194817066192627;8
2019-10-13;0.319737464189529;0.410111010074616;0.525758668780327;0.505181483924389;0.593172207474709;0.641743540763855;8
2019-10-18;0.237361580133438;0.301915429532528;0.314596831798553;0.31685820966959;0.33915750682354;0.374370872974396;8
2019-10-23;0.546391725540161;0.650245770812035;0.673371464014053;0.662956982851028;0.698045879602432;0.716307044029236;8
2019-10-28;0.0470470488071442;0.0481315487995744;0.0494729690253735;0.0495278276503086;0.0512531828135252;0.0517529211938381;8
2019-11-02;0.0109772421419621;0.0166828352957964;0.0199080444872379;0.019055682932958;0.0218354468233883;0.0249262936413288;8
2019-11-07;0.330172717571259;0.439309924840927;0.555228233337402;0.566881783306599;0.71811930835247;0.779612600803375;8
2019-11-12;0.566017329692841;0.592969834804535;0.647857487201691;0.646312959492207;0.702419951558113;0.723379909992218;8
2019-11-17;0.340513676404953;0.354831993579865;0.399273693561554;0.396923672407866;0.431145086884499;0.460603952407837;8
2019-11-22;0.033484909683466;0.0349160898476839;0.0361748076975346;0.0364707885310054;0.0375474495813251;0.0410509034991264;8
2019-11-27;0.437343001365662;0.488785691559315;0.6262526512146;0.604605790227652;0.707286134362221;0.778647303581238;8
2019-12-02;0.0277904327958822;0.0344504239037633;0.0350973550230265;0.0352120657917112;0.0376359904184938;0.0398534126579762;8
2019-12-07;0.150935187935829;0.169026810675859;0.173989102244377;0.177798165008426;0.182639952749014;0.21676430106163;8
2019-12-12;0.435831189155579;0.552830077707768;0.649239838123322;0.62064215913415;0.685604065656662;0.776423811912537;8
2019-12-17;0.339055806398392;0.398917615413666;0.43254716694355;0.42776220291853;0.463818781077862;0.492013782262802;8
2019-12-22;0.596343159675598;0.634722962975502;0.649666160345078;0.658434875309467;0.699548065662384;0.721244156360626;8
2019-12-27;0.35505872964859;0.474502503871918;0.521375894546509;0.501181036233902;0.53065612912178;0.597295999526978;8
2020-01-01;0.382753401994705;0.430449433624744;0.587875038385391;0.533319890499115;0.595671758055687;0.670700788497925;8
2020-01-06;0.461584985256195;0.606576383113861;0.639117300510407;0.623959854245186;0.65743188560009;0.736540675163269;8
2020-01-11;0.52703583240509;0.607319608330727;0.653413206338882;0.642673186957836;0.680926635861397;0.733064293861389;8
2020-01-16;0.402027040719986;0.586858421564102;0.625365078449249;0.60122686251998;0.65883694589138;0.688105702400208;8
2020-01-21;0.0235580820590258;0.0262342048808932;0.0270379735156894;0.0270678100641817;0.0274640959687531;0.032310176640749;8
2020-01-26;0.524766683578491;0.651627451181412;0.674868375062943;0.666351668536663;0.710892170667648;0.735807061195374;8
2020-01-31;0.539273917675018;0.6460340321064;0.690057367086411;0.678276151418686;0.727382078766823;0.756766498088837;8
2020-02-05;0.0165484640747309;0.0213061152026057;0.0265973983332515;0.0259970943443477;0.0302198184654117;0.0347601249814034;8
2020-02-10;0.528957545757294;0.566590517759323;0.667251467704773;0.637920141220093;0.693547412753105;0.719457030296326;8
2020-02-15;0.370321452617645;0.53801441937685;0.603367477655411;0.570548709481955;0.633260503411293;0.689937710762024;8
