"fecha","tmed","hrmed","NDVI_mean_6490927","Anomaly_6490927","NDVI_mean_6431327","Anomaly_6431327","NDVI_mean_6444852","Anomaly_6444852","NDVI_mean_6462152","Anomaly_6462152","NDVI_mean_6617939","Anomaly_6617939","NDVI_mean_6619213","Anomaly_6619213","NDVI_mean_6402165","Anomaly_6402165","NDVI_mean_6402166","Anomaly_6402166","NDVI_mean_6402168","Anomaly_6402168","NDVI_mean_6402171","Anomaly_6402171","NDVI_mean_6402172","Anomaly_6402172","NDVI_mean_6402214","Anomaly_6402214","NDVI_mean_6482477","Anomaly_6482477","NDVI_mean_6524125","Anomaly_6524125","NDVI_mean_6400989","Anomaly_6400989","NDVI_mean_6400993","Anomaly_6400993","NDVI_mean_6400994","Anomaly_6400994","NDVI_mean_6400997","Anomaly_6400997","NDVI_mean_6401005","Anomaly_6401005","NDVI_mean_6466802","Anomaly_6466802","NDVI_mean_6496354","Anomaly_6496354","NDVI_mean_6525295","Anomaly_6525295","NDVI_mean_6401855","Anomaly_6401855","anomaliesAgg","anomaliesAgg2"
2018-04-01,13.2208333333333,50.1916666666667,NA,NA,0.246811745688319,0,NA,NA,0.270662873983383,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33984182626009,0,NA,NA,0.380971364676952,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11419491097331,1,NA,NA,NA,NA,0.0434782608695652,0.2
2018-04-06,15.0541666666667,68.5666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018-04-11,13.0708333333333,45.0375,NA,NA,0.312951892614365,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375056673586369,0,NA,NA,0.390588079889615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2018-04-16,18.2125,48.1708333333333,NA,NA,0.225926235318184,1,NA,NA,0.22108756005764,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240602315962315,0,NA,NA,0.311747809251149,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0992109160870314,1,NA,NA,NA,NA,0.173913043478261,0.8
2018-04-21,17.4791666666667,61.6416666666667,NA,NA,0.182781219482422,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233023059368134,1,NA,NA,0.247255588571231,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130434782608696,1
2018-04-26,17.7041666666667,75.4708333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018-05-01,13.45,59.9791666666667,NA,NA,0.323438744992018,0,NA,NA,0.197566159069538,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29686323851347,0,NA,NA,0.30146977553765,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202104233205318,0,NA,NA,NA,NA,0.0869565217391304,0.4
2018-05-06,17.0291666666667,64.8458333333333,NA,NA,0.456106960773468,0,NA,NA,0.253080412745476,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.302552200853825,0,NA,NA,0.322207565108935,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15976345539093,0,NA,NA,NA,NA,0.0434782608695652,0.2
2018-05-11,19.1416666666667,75.8666666666667,NA,NA,0.360053397715092,0,NA,NA,0.23172876983881,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2018-05-16,17.0083333333333,55.8083333333333,NA,NA,0.392250794917345,0,NA,NA,0.297081619501114,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364498536288738,0,NA,NA,0.441452716787656,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211393535137177,0,NA,NA,NA,NA,0,0
2018-05-21,18.4291666666667,65.2958333333333,NA,NA,0.394282430410385,0,NA,NA,0.283316761255264,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331825022399426,0,NA,NA,0.436417430639267,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226025626063347,0,NA,NA,NA,NA,0,0
2018-05-26,20.5166666666667,70.6833333333333,NA,NA,0.3603789024055,0,NA,NA,0.268791422247887,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304687868058682,0,NA,NA,0.434436043103536,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201950073242188,0,NA,NA,NA,NA,0,0
