Explotacion;Localidad;Punto servicio;Contrato;Cliente;NIF/NIE;Estado;Fecha Estado;Fec. Caducidad;T. Gestion Deuda;Compl. Direccion;Categoria;Tipo contrato
EMUASA-MURCIA;TORREAGÜERA;AV.MONTEGRANDE SN FTE Nº9-BO-RIEGO;9.665.660;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;15/12/2016; ;AYT;ESQ C/ BANDO DE LA HUERTA;Municipal;ALTA AYUNTAMIENTO JARDIN POTABLE
EMUASA-MURCIA;MURCIA;ANTONIO SEGURA SANCHEZ SN-JA;9.699.909;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;23/02/2017; ;AYT; ;Municipal;ALTA AYUNTAMIENTO JARDIN POTABLE
EMUASA-MURCIA;EL PALMAR;PL.ALHELIES SN-JA;9.706.747;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;07/03/2017;01/01/2018;AYT; ;Municipal;ALTA OBRAS SIN SANEAMIENTO
EMUASA-MURCIA;EL PALMAR;PL.DEL LIMON SN-JA;9.706.764;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;07/03/2017;01/01/2018;AYT; ;Municipal;ALTA OBRAS SIN SANEAMIENTO
EMUASA-MURCIA;MURCIA;AV.CICLISTA MARIANO ROJAS SN-JA;9.743.566;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;27/04/2017; ;AYT; ;Municipal;CAMBIO TITULAR AYUNTAMIENTO JARDIN POTABLE
EMUASA-MURCIA;SANGONERA LA VERDE;TENIENTE ALCALDE PEPE PEÑALVER SN-H-O;9.792.895;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;20/07/2017; ;AYT; ;Municipal;ALTA AYUNTAMIENTO JARDIN POTABLE
EMUASA-MURCIA;EL PALMAR;PS.ACACIAS SN-JA;9.808.436;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;03/08/2017;01/01/2018;AYT; ;Municipal;ALTA OBRAS SIN SANEAMIENTO
EMUASA-MURCIA;CHURRA;CC.CENTRO THADER SN P.CARAV-GR;9.832.240;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;26/02/2018; ;AYT; ;Municipal;ALTA AYUNTAMIENTO JARDIN POTABLE
EMUASA-MURCIA;MURCIA;PACO 23-JA;9.904.147;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;27/12/2017; ;AYT; ;Municipal;ALTA AYUNTAMIENTO JARDIN POTABLE
EMUASA-MURCIA;SANTO ANGEL;CRESTA DEL GALLO SN JARDIN-JA;9.913.429;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;12/01/2018;21/05/2018;AYT; ;Municipal;ALTA OBRAS SIN SANEAMIENTO
