"Contrato";"Fecha_Min";"Fecha_Max";"NDVI.NA.n_TotalD";"NDVI.NA.n_TotalNA";"NDVI.NA.n_MaxNA";"NDVI.NA.Mean_Min";"NDVI.NA.Mean_Mean";"NDVI.NA.Mean_Max";"NDVI.NA.Mean_TotalNoNA";"NDVI.NA.Mean_TotalNA"
"6443818";2017-10-03;2022-02-09;1;16;1;-0.0544012968894094;0.279152094877448;0.543238028883934;258;16
"6443831";2017-10-03;2022-02-09;1;16;1;-0.0372583018615842;0.193688554825818;0.451160468161106;258;16
"6444397";2017-10-03;2022-02-09;1;16;1;-0.0384615398943424;0.168547225750571;0.36338946223259;258;16
"6444401";2017-10-03;2022-02-09;1;16;1;-0.0259553994983435;0.31466371538307;0.65889099240303;258;16
"6444403";2017-10-03;2022-02-09;1;16;1;-0.0808080807328224;0.106937244439172;0.285163283348084;258;16
"6444406";2017-10-03;2022-02-09;1;16;1;-0.0295705939643085;0.434421798456989;0.807721316814423;258;16
"6444534";2017-10-03;2022-02-09;1;16;1;-0.0348750036209822;0.202189669478617;0.497273236513138;258;16
"6444851";2017-10-03;2022-02-09;1;16;1;-0.0719888750463724;0.157107877564377;0.32069269567728;258;16
"6445155";2017-10-03;2022-02-09;1;16;1;-0.0373952050100673;0.251722693276264;0.442703691395846;258;16
"6447936";2017-10-03;2022-02-09;1;13;1;-0.0457853587965171;0.185304773629441;0.381973733504613;261;13
"6449098";2017-10-03;2022-02-09;1;16;1;-0.034243606030941;0.128108752102008;0.347641497850418;258;16
"6449099";2017-10-03;2022-02-09;1;16;1;-0.0315780377325912;0.388461372278424;0.739458272854487;258;16
"6449801";2017-10-03;2022-02-09;1;16;1;-0.0964272022247314;0.132370010564102;0.413383364677429;258;16
"6449803";2017-10-03;2022-02-09;1;16;1;-0.025394044816494;0.214226010168881;0.472472459077835;258;16
"6449806";2017-10-03;2022-02-09;1;16;1;-0.0525180777069181;0.205022764428521;0.379288399219513;258;16
"6451307";2017-10-03;2022-02-09;1;16;1;-0.0358727811663239;0.295604444218609;0.539973784927969;258;16
"6451392";2017-10-03;2022-02-09;1;16;1;-0.0408858619630337;0.341054055414387;0.695271015167236;258;16
"6451505";2017-10-03;2022-02-09;1;16;1;-0.053910716521469;0.227907399608297;0.525378349152478;258;16
"6451703";2017-10-03;2022-02-09;1;16;1;-0.0311710298061371;0.309523724426541;0.567270173877478;258;16
"6452755";2017-10-03;2022-02-09;1;16;1;-0.0298000294715166;0.423152757842633;0.887220293283463;258;16
"6453067";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6453070";2017-10-03;2022-02-09;1;16;1;-0.0695319157093763;0.320591220617446;0.724790386855602;258;16
"6453255";2017-10-03;2022-02-09;1;16;1;-0.0270850941538811;0.245220746693509;0.674177277088165;258;16
"6453259";2017-10-03;2022-02-09;1;16;1;-0.0412745426098506;0.318254740517006;0.57725183169047;258;16
"6453279";2017-10-03;2022-02-09;1;16;1;-0.0785340294241905;0.323917289105332;0.71927672624588;258;16
"6453281";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6453283";2017-10-03;2022-02-09;1;16;1;-0.0829736217856407;0.439418451248239;0.862226009368897;258;16
"6453523";2017-10-03;2022-02-09;1;13;1;-0.0321691634599119;0.294422087959278;0.549581438302994;261;13
"6456676";2017-10-03;2022-02-09;1;16;1;-0.0268702579196543;0.180471707706799;0.386555425822735;258;16
"6456677";2017-10-03;2022-02-09;1;16;1;-0.0268195153524478;0.250715975806154;0.593569338321686;258;16
"6456678";2017-10-03;2022-02-09;1;16;1;-0.0276715668539206;0.199435185445314;0.417436480522156;258;16
"6456679";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6456681";2017-10-03;2022-02-09;1;16;1;-0.17774776990215;0.211771890870333;0.470241616169612;258;16
"6456682";2017-10-03;2022-02-09;1;16;1;-0.0408172952011228;0.337816036271126;0.693590521812439;258;16
"6456864";2017-10-03;2022-02-09;1;16;1;-0.0468196533620358;0.132625467948031;0.32761088013649;258;16
"6457709";2017-10-03;2022-02-09;1;13;1;-0.0471307428983542;0.279535446037635;0.57633320414103;261;13
"6459510";2017-10-03;2022-02-09;1;16;1;-0.0385097190737724;0.312176430983063;0.598196907685353;258;16
"6461478";2017-10-03;2022-02-09;1;16;1;-0.0436318195424974;0.297303798757131;0.586401913315058;258;16
"6462152";2017-10-03;2022-02-09;1;13;1;-0.0443165817608436;0.283370686848119;0.561075722177823;261;13
"6462640";2017-10-03;2022-02-09;1;16;1;-0.0416973821818829;0.369415180266204;0.698972430825234;258;16
"6464310";2017-10-03;2022-02-09;1;16;1;-0.0284973134597143;0.370428580037932;0.672225614388784;258;16
"6466823";2017-10-03;2022-02-09;1;16;1;-0.0875912383198738;0.283124080156121;0.737226247787476;258;16
"6466824";2017-10-03;2022-02-09;1;16;1;-0.0292682927101851;0.175261016210673;0.352727264165878;258;16
"6466825";2017-10-03;2022-02-09;1;16;1;-0.321797907352448;0.330119231842366;0.93891042470932;258;16
"6467039";2017-10-03;2022-02-09;1;16;1;-0.044435272552073;0.384756562596862;0.787971195578575;258;16
"6467040";2017-10-03;2022-02-09;1;16;1;-0.040585495531559;0.295324020554396;0.738041996955872;258;16
"6467298";2017-10-03;2022-02-09;1;16;1;-0.0366220641881228;0.174497617194528;0.332894161343575;258;16
"6470504";2017-10-03;2022-02-09;1;16;1;-0.0339137032628059;0.254727411117459;0.43781298995018;258;16
"6472805";2017-10-03;2022-02-09;1;16;1;-0.0347616318613291;0.192233309618012;0.346382007002831;258;16
"6473003";2017-10-03;2022-02-09;1;16;1;-0.0391261376041387;0.481745164112454;0.823018970234054;258;16
"6473494";2017-10-03;2022-02-09;1;13;1;-0.0373624600470066;0.143350936227933;0.295142963528633;261;13
