1,0,100,0
0.979798,5,103,5
0.959596,10,106,10
0.9393939,15,109,15
0.9191919,20,112,20
0.8989899,25,115,25
0.8787879,30,118,30
0.8585859,36,121,36
0.8383838,41,125,41
0.8181818,46,128,46
0.7979798,51,131,51
0.7777778,56,134,56
0.7575758,61,137,61
0.7373737,66,140,66
0.7171717,72,143,72
0.6969697,77,146,77
0.6767677,82,150,82
0.6565657,87,153,87
0.6363636,92,156,92
0.6161616,97,159,97
0.5959596,103,162,103
0.5757576,108,165,108
0.5555556,113,168,113
0.5353535,118,172,118
0.5151515,123,175,123
0.4949495,128,178,128
0.4747475,133,181,133
0.4545455,139,184,139
0.4343434,144,187,144
0.4141414,149,190,149
0.3939394,154,193,154
0.3737374,159,197,159
0.3535354,164,200,164
0.3333333,170,203,170
0.3131313,175,206,175
0.2929293,180,209,180
0.2727273,185,212,185
0.2525253,190,215,190
0.2323232,195,218,195
0.2121212,200,222,200
0.1919192,206,225,206
0.1717172,211,228,211
0.1515152,216,231,216
0.1313131,221,234,221
0.1111111,226,237,226
0.09090909,231,240,231
0.07070707,236,244,236
0.05050505,242,247,242
0.03030303,247,250,247
0.01010101,252,253,252
-0.01010101,253,252,252
-0.03030303,251,247,247
-0.05050505,249,242,242
-0.07070707,246,236,236
-0.09090909,244,231,231
-0.1111111,242,226,226
-0.1313131,239,221,221
-0.1515152,237,216,216
-0.1717172,235,211,211
-0.1919192,232,206,206
-0.2121212,230,200,200
-0.2323232,228,195,195
-0.2525253,225,190,190
-0.2727273,223,185,185
-0.2929293,221,180,180
-0.3131313,218,175,175
-0.3333333,216,169,169
-0.3535354,213,164,164
-0.3737374,211,159,159
-0.3939394,209,154,154
-0.4141414,206,149,149
-0.4343434,204,144,144
-0.4545455,202,139,139
-0.4747475,199,133,133
-0.4949495,197,128,128
-0.5151515,195,123,123
-0.5353535,192,118,118
-0.5555556,190,113,113
-0.5757576,188,108,108
-0.5959596,185,103,103
-0.6161616,183,97,97
-0.6363636,181,92,92
-0.6565657,178,87,87
-0.6767677,176,82,82
-0.6969697,174,77,77
-0.7171717,171,72,72
-0.7373737,169,66,66
-0.7575758,167,61,61
-0.7777778,164,56,56
-0.7979798,162,51,51
-0.8181818,160,46,46
-0.8383838,157,41,41
-0.8585859,155,36,36
-0.8787879,153,30,30
-0.8989899,150,25,25
-0.9191919,148,20,20
-0.9393939,146,15,15
-0.959596,143,10,10
-0.979798,141,5,5
-1,139,0,0
